skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Corpse Explosion	74	nec	corpse explosion	17	55																				ln34																																																			1	necromancer_corpse_cast								necromancer_corpseexp_1						21	32					corpseexplosion	explodingarrowexp	redlightmissile										1	0		none												SC	SC	xx								1		1	1						1			3		1	necromancer_corpse_cast		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	10	3	1										par1+(blvl*3)	% target hp min damage	par2+(blvl*3)	% target hp max damage	par5+(blvl*3)	% damage to do as elemental			20	% of base monster HP min damage	40	% of base monster HP max damage	8	radius (half squares)	1	additional radius/level (half squares)	50	% damage to do as elemental							1								8															fire																					384	3000
Clay Golem	75	nec	clay golem		56																					item_slow	dm34											damagedinmelee	27									velocitypercent	skill('Golem Mastery'.dm34)	tohit	skill('Golem Mastery'.ln56) + (lvl*par8)	damagepercent	par2 * (lvl - 1) + (skill('FireGolem'.blvl)*skill('FireGolem'.par8))+stat(186.accr)	armorclass	skill('IronGolem'.blvl)*skill('IronGolem'.par8)					claygolem	golem	1	S1														necromancer_golem_cast																																1	5		none												SC	SC	S1					4																				(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	15	6	1	1									(100+(par1 * (lvl - 1)))*(100+skill('Golem Mastery'.ln12) + (skill('BloodGolem'.blvl)*skill('BloodGolem'.par8)))/100-100	hp % adjustment							100	% HP bonus per level	100	% Damage bonus per level	0	slow effect min	75	slow effect max							20	clay golem attack synergy	1								8																																				384	3000
Iron Maiden	76	nec	iron maiden		30																3		ironmaiden	ln34	7+skill('Iron Maiden'.lvl)/3	maxdamage	skill('Iron Maiden'.lvl)*3											domeleedamage	4																																						necromancer_curse_cast														18	30					curseironmaiden		cursecast										1	9		none												SC	SC	S2					4												1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	5	6	1										ln56+stat(186.accr)	% damage to return	ln56+stat(186.accr)	% damage to return vs. players	ln56/10+stat(186.accr)	% damage to return other			7	radius	0	radius per level	300	duration	250	additional duration/level	200	% damage returned to accursed	87	% additional returned/level					1				16385		141		8																																				512	8000
Terror	77		terror		30																2		terror	ln34	ln12																																																				necromancer_curse_cast														18	30					curseterror		cursecast										1	0		none												SC	SC	xx					4												1						necromancer_curse_cast		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	7	6	1																		4	radius	0	radius per level	200	duration	25	additional duration/level	24	Distance to run	2	Distance per level					1								8																																				512	8000
Bone Wall	78		bone wall		60												bonewallmaker																																											bonewall	none		S1														necromancer_bone_cast														22																		1	0		none												SC	SC	xx					4												1						necromancer_bone_cast		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	17	3	1										(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Prison'.blvl))*par8)	hp % adjustment	par34	# of walls - 1					25	% additional HP per level	600	MAX duration	8	Max Monsters per wall	0	"Level, max monsters per wall"							10	life synergy	1								8																																				512	8000
Golem Mastery	79	nec	golem mastery																																											golem_mastery																																																															1	0		none												SC	SC	xx																									(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						0	8	0	3	1						1												20	% HP bonus per level	20	% HP bonus per level	0	min velocity increase	40	max velocity increase	25	to hit	25	to hit/lvl					1								8																																				512	8000
Raise Skeletal Mage	80	nec	raise skeletal mage	15	31																					armorclass	(lvl+skill('Skeleton Mastery'.lvl))*par5																					maxhp	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par1) * 256											necromage	skeletonmage	(lvl < 4) ?lvl:(2+lvl/3)	S1	NecromageMissile	skill('Skeleton Mastery'.lvl) + ((lvl < 4)?0:((lvl-2)/2))											1	necromancer_golem_cast														20	31					corpseexplosion												1	0		none												SC	SC	xx								1		2	1														(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	8	6	1										(lvl < 4) ? 0 : (par2 * (lvl - 3))+ulvl	hp % adjustment									7	hp%/lvl					10	ac/lvl							1								8																																				512	8000
Confuse	81		confuse		61																2		confuse	ln34	ln12																																																				necromancer_curse_cast														18	30					curseconfuse		cursecast										1	0		none												SC	SC	xx					4												1						necromancer_curse_cast		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	13	8	1																		6	radius	1	radius per level	250	duration	50	additional duration/level									1								8																																				640	16000
Life Tap	82	nec	life tap		30																3		lifetap	ln34	ln12													damagedinmelee	5	damagedbymissile	5																																				necromancer_curse_cast									steallife					18	30					cursereversevampire		cursecast										1	4		none												SC	SC	S2					4												1						necromancer_curse_cast		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	9	6	1										ln56+(ulvl/5)	hp % returned							4	radius	1	radius per level	400	duration	200	additional duration/level	50	% damage healed	10	% additional heal/level					1								8																																				640	16000
Poison Explosion	83		poison explosion	17	63												poisonexplosioncloud								ln34																																																			1	necromancer_corpse_cast								necromancer_corpseexp_1						21	33					poisoncorpseexplosion	poisonexplosioncloud	greenlightmissile										1	0		none												SC	SC	xx								1		1	1						1			3		1	necromancer_corpse_cast		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	8	7	1																																15	damage synergy	1								8															pois	35	80	88	60	86	57	56	58	50	94	84	6	stat('energy'.base/3)+(blvl*5)*(ulvl*6)	50	10	10	10				640	16000
Bone Spear	84	nec	bone spear											bonespear																																																															necromancer_bone_cast														19					bonespear			bonecast										1	6		none												SC	SC	xx																	1						necromancer_bone_cast		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	6	28	5	1																																7	damage synergy	1								8															mag	5	11	10	89	80	47	14	13	11	68	89	6	stat('energy'.base/3)+(blvl*5)*(ulvl*6)								640	16000
BloodGolem	85		bloodgolem		56																																	domeleedamage	23	damagedinmelee	26	damagedbymissile	26					velocitypercent	skill('Golem Mastery'.dm34)	tohit	skill('Golem Mastery'.ln56)+skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)	damagepercent	par4 * (lvl - 1) + (skill('FireGolem'.blvl)*skill('FireGolem'.par8))	armorclass	skill('IronGolem'.blvl)*skill('IronGolem'.par8)					bloodgolem	bloodgolem	1	S1														necromancer_golem_cast																																1	5		none												SC	SC	xx					4																				(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	25	7	1	1									skill('Golem Mastery'.ln12)	hp % adjustment							75	min % life stolen	150	max % life stolen	30	% stolen life xfer to caster	35	%additional golem damage per level	10	% damage on golem xfered to caster	25	% caster healing xfered to golem			5	blood golem life synergy	1								8																																				640	16000
Attract	86		attract	18	59																2		attract	ln34	ln12																																																				necromancer_curse_cast														18	30					curseattract		cursecast										1	0		none												SC	SC	xx					4			1									1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	17	4	1																		9	radius	0	radius per level	300	duration	90	additional duration/level									1								8																																				768	32000
Decrepify	87	nec	decrepify		30																3		decrepify	ln34	ln12	velocitypercent	par5	damagepercent	par5	damageresist	par5	attackrate	par5																																												necromancer_curse_cast														18	30					cursedecrepify		cursecast										1	9		none												SC	SC	S2					4												1						necromancer_curse_cast		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	11	5	1																		6	radius	2	radius per level	100	duration	100	additional duration/level	-50	"% slowed, -dam, -dam resist"							1								8																																				768	32000
Bone Prison	88		bone prison	19	62																																																							bonewall	none		NU														necromancer_bone_cast														22																		1	10		none												SC	SC	xx					4			1									1				1		necromancer_bone_cast		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	27	-1	1										(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Wall'.blvl))*par8)	hp % adjustment							25	% additional HP per level	600	MAX duration											8	life synergy	1								8																																				768	32000
Summon Resist	89		summon resist																																											summonresist		passive_summon_resist	dm12																																																												1	6		none												SC	SC	xx																									(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	8	44	-3	1						1												20	min % resist	75	max % resist													1								8																																				768	32000
IronGolem	90		irongolem	20	57																	thorns				thorns_percent	ln12	fade	16																			velocitypercent	skill('Golem Mastery'.dm34)	tohit	skill('Golem Mastery'.ln56)+skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)	armorclass	lvl*par8	damagepercent	(skill('FireGolem'.blvl)*skill('FireGolem'.par8))					irongolem	irongolem	1	S1													1	necromancer_golem_cast														23																		1	5		none												SC	SC	xx					4			1						1											(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	35	7	1	1									skill('Golem Mastery'.ln12) + (skill('BloodGolem'.blvl)*skill('BloodGolem'.par8))	hp % adjustment							150	% thorns damage back (level 2)	15	% thorns damage back per level											35	iron golem armor synergy	1								8																																				768	32000
Lower Resist	91	nec	lower resist		30																3		lowerresist	ln34	ln12	fireresist	dm56*-1	lightresist	dm56*-1	coldresist	dm56*-1	poisonresist	dm56*-1																																												necromancer_curse_cast														18	30					cursesolitude		cursecast										1	8		none												SC	SC	S2					4												1						necromancer_curse_cast		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	22	5	1																		11	radius	3	radius per level	500	duration	50	additional duration/level	2	min % resist lower	30	max % resist lower					1								8																																				896	64000
Poison Nova	92	nec	poison nova		22												poisonnova																																																												necromancer_poison_cast															25					poisonnova												1	3		none												SC	SC	xx																	1						necromancer_poison_cast		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	20	8	1																																10	damage synergy	1								3															pois	6	14	4	69	50	80	17	18	3	57	76	6	stat('energy'.base/3)+(blvl*5)*(ulvl*6)/5	50							896	64000
Bone Spirit	93	nec	bone spirit		10												bonespirit	bonespirit																																																											necromancer_bone_cast															18					bonespirit												1	7		none												SC	SC	xx																	1			4			necromancer_bone_cast		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	7	24	8	1										0	dmg%																					6	damage synergy	1								8															mag	8	10	4	6	8	10	12	11	5	83	96	6	stat('energy'.base/3)+(blvl*5)*(ulvl*6)								896	64000
FireGolem	94	nec	firegolem		56																					fireresist	100 - dm12	item_absorbfire_percent	dm12	firemindam	edmn	firemaxdam	edmx															velocitypercent	skill('Golem Mastery'.dm34)	tohit	skill('Golem Mastery'.ln56)+skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)	armorclass	skill('IronGolem'.blvl)*skill('IronGolem'.par8)							firegolem	firegolem	1	S1	Holy Fire	"min(ln56,90)"												necromancer_golem_cast																																1	6		none												SC	SC	xx					4												1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	50	4	1	1									skill('Golem Mastery'.ln12)+(skill('BloodGolem'.blvl)*skill('BloodGolem'.par8))+(stat(186.accr)	hp % adjustment							25	min % fire absorbtion	100	max % fire absorbtion	5	% damage increase	25	% damage increase per level	2	Holy Fire Aura level	2	Plus Holy Fire Aura level			6	fire golem damage synergy	1								8															fire	1	14	31	100	77	56	2	17	32	76	102	6									896	64000
Revive	95	nec	revive	21	58																					damagepercent	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par4)																					velocitypercent	par5												revive	lvl	NU													1	necromancer_revive_cast								necromancer_revive_target						24						revivemedium	revivesmall	revivelarge										1	6		none												SC	SC	xx					4			1		3	1														(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	45	5	1										par1*(1+blvl/2)	hp % adjustment	ln34	duration					200	additional hp percent			4500	Duration	125	additional duration/level	50	Velocity bonus for revived							1								8																																				896	64000
Sacrifice	96	pal	sacrifice	29	64																																																																								paladin_sacrifice		1													34					blood1				3	blood1-bigblood1							1	7		h2h		mele										A1	A1	xx	2		1	1		1	1								1		1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						0	8	0	0	1										ln12+skill('Redemption'.blvl)*par8+skill('Fanaticism'.blvl)*par7	damage %	par3	damage self %					180	Percent damage	15	percent damage per level	8	percent damage to self							5	damage synergy	15	damage synergy	1	20	7						8	128																																			256	1000
Smite	97	pal	smite		150																																																																								weapon_2hs_large_1		1																														1	9		h2h	4	shld										S1	S1	xx				1		1	1								1		1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	8	2	0											ln34	damage %	min(250,ln12)	stunlen					15	Stun Length	5	additional frames/level	20	Percent bonus damage	100	percent damage per level									1				8				8		1	10	3	4	4	4	2	15	3	4	4	4		mag	5	10	3	4	4	4	22	15	3	4	4	4	(blvl*5)*(ulvl*6)/3								256	1000
Might	98	pal	might		65																73731	might	might		ln12	damagepercent	ln34																																																																																	1	1	9		none														xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	0	0	1	1	1		50														16	radius	2	additional radius per level	40	% additional damage	30	% additional damage/level									1								8																																				256	1000
Prayer	99	pal	prayer		65																73731	prayer	prayer		ln12	hitpoints	edns																																																																																		1	7		none														xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	4	16	3	1	1	1		50														22	radius	6	additional radius per level													1								8																2	1	1	2	2	3															256	1000
Resist Fire	100	pal	resist fire		65																73731	resistfire	resistfire		ln12	fireresist	dm34	maxfireresist	skill('Resist Fire'.blvl)																	passive_resistfire		maxfireresist	skill('Resist Fire'.blvl)/2																																																											1	1	8		none														xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1	1	1		50														16	radius	2	additional radius per level	35	min % resist	150	max % resist									1								8																																				256	1000
Holy Bolt	101	pal	holy bolt											holybolt																																																															paladin_holybolt_cast											cast_undead								holybolt													1	7		none												SC	SC	xx												1	1				1						paladin_holybolt_cast	cast_undead	(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	4	32	1	1										ln12 * (100 + skill('Prayer'.blvl) * par7) / 100	min heal	ln34 * (100 + skill('Prayer'.blvl) * par7) / 100	max heal					1	min hitpoints healed	2	hitpoints healed per level	6	max hitpoints healed	4	hitpoints healed per level					15	heal synergy	50	damage synergy	1								8															mag	8	8	10	13	16	20	16	8	11	15	18	23	(blvl*5)*(ulvl*6)								384	3000
Holy Fire	102	pal	holy fire		66																42883	holyfire			ln12																							firemindam	enms*par5/256	firemaxdam	exms*par5/256																																																										1	0		none														xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1	1	1		50														6	radius	3	additional radius per level					2	damage to attack multiplier			6	damage synergy	18	damage synergy	1				16385				7															fire	2	1	2	3	5	7	6	1	2	3	5	7	(blvl*5)*(ulvl*6)								384	3000
Thorns	103	pal	thorns		65																73731	thorns	thorns		ln12	thorns_percent	ln34																																																																																		1	9		none														xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1	1	1		50														16	radius	3	additional radius per level	250	% damage bounced back	77	% additional bounce back/level									1								8																																				384	3000
Defiance	104		defiance		65																73731	defiance	defiance		ln12	skill_armor_percent	ln34																																																																																	1	1	4		none														xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1	1	1		50														16	radius	3	additional radius per level	70	% additional AC	30	% additional AC/level	0	?	0	?					1								8																																				384	3000
Resist Cold	105		resist cold		65																73731	resistcold	resistcold		ln12	coldresist	dm34	maxcoldresist	skill('Resist Cold'.blvl)																	passive_resistcold		maxcoldresist	skill('Resist Cold'.blvl)/2																																																											1	1	6		none														xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1	1	1		50														16	radius	3	additional radius per level	35	min % resist	150	max % resist	0	?	0	?					1								8																																				384	3000
Zeal	106	pal	zeal	37	13																																																																							1	paladin_zeal														53	21																	1	2		h2h		mele										A1	A1	xx						1	1								1		1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	8	2	0											min((par5 + lvl -1), par6)	max targets	((lvl < 5) ? 0 : ((lvl-4) * par4) )+skill('Sacrifice'.blvl)*par8	damage %							100	% frame rollback	0	% damage percent	6	damage % per level	2	Targets	5	Max targets			12	damage synergy	1	10	10						8	128																																			512	8000
Charge	107	pal	charge	31	67																																																																							1	paladin_charge														25	37																	1	2		none		mele										SQ	A1	xx	4	8	1			1	1								1		1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	8	9	0											ln34+(skill('Vigor'.blvl)+skill('Might'.blvl))*par8	damage %						elem conversion%	150	percent increase in velocity	0	?	100	plus % damage	100	plus % dam per level	2	Trails	0	?			20	damage synergy	1	50	15						8	128																																			512	8000
Blessed Aim	108		blessed aim		65																73731	blessedaim	blessedaim		ln12	item_tohit_percent	ln34																			penetrate		item_tohit_percent	skill('Blessed Aim'.blvl) * par8																																																											1	1	6		none														xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1	1	1		50														16	radius	3	additional radius per level	75	% attack# bonus	15	% additional attack# bonus	0	?	0	?			5	passive to hit bonus	1								8																																				512	8000
Cleansing	109	pal	cleansing		65																73731	cleansing	cleansing		ln12	item_poisonlengthresist	100-dm34	hitpoints	skill('Prayer'.edns)																																																																																1	3		none														xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1	1	1		50														16	radius	3	additional radius per level	30	min % reduction	70	max % reduction	0	?	0	?					1								8																																				512	8000
Resist Lightning	110		resist lightning		65																73731	resistlight	resistlight		ln12	lightresist	dm34	maxlightresist	skill('Resist Lightning'.blvl)																	passive_resistltng		maxlightresist	skill('Resist Lightning'.blvl)/2																																																											1	1	6		none														xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1	1	1		50														16	radius	3	additional radius per level	35	min % resist	150	max % resist	0	?	0	?					1								8																																				512	8000
Vengeance	111	pal	vengeance	35	2																																																																											1																													1	3		h2h		mele										A1	A1	xx				1		1	1								1		1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	6	16	1	1										ln12+skill('Resist Fire'.blvl)*par8+skill('Salvation'.blvl)*par7	fire damage%	ln12+skill('Resist Cold'.blvl)*par8+skill('Salvation'.blvl)*par7	cold damage%	ln12+skill('Resist Lightning'.blvl)*par8+skill('Salvation'.blvl)*par7	ltng damage%			70	percent damage	6	percent damage per level	0	?	0	?	0	?	0	?	2	damage synergy	10	damage synergy	1	20	10						8	128														cold													(blvl*5)*(ulvl*6)	30	15	15	15				640	16000
Blessed Hammer	112	pal	blessed hammer		73												blessedhammer																																																												paladin_holybolt_cast															35					blessedhammer												1	2		none												SC	SC	xx																	1						paladin_holybolt_cast		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	6	20	1	1																		0	Concentration influence in 8ths	0	?	0	?	0	?	0	?	0	?			14	damage synergy	1								8	64														mag	12	8	10	12	13	14	16	8	10	12	13	14	(blvl*5)*(ulvl*6)								640	16000
Concentration	113	pal	concentration		65																73731	concentration	concentration		ln12	damagepercent	ln34	skill_concentration	par5																																																																															1	1	6		none														xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			0	8	0	0	1	1	1		50														16	radius	3	additional radius per level	60	% additional damage	30	$ additional damage/level	20	percent chance that attack will not be interrupted	0	?					1								8																																				640	16000
