Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
174	1044	1843	2543	1044	1924	2724	1568	2572	4970	1568	2572	4970	1527	3536	7357	1527	3536	9592	132	154	254	132	154	254	15928	179088	500305	15928	179088	500305
175	1050	1853	2555	1050	1932	2734	1574	2580	4980	1574	2580	4980	1533	3544	7367	1533	3544	9602	133	155	256	133	155	256	16043	180124	501555	16043	180124	501555
176	1056	1863	2567	1056	1940	2744	1580	2588	4990	1580	2588	4990	1539	3552	7377	1539	3552	9612	134	156	258	134	156	258	16158	181160	502805	16158	181160	502805
177	1062	1873	2579	1062	1948	2754	1586	2596	5000	1586	2596	5000	1545	3560	7387	1545	3560	9622	135	157	260	135	157	260	16273	182196	504055	16273	182196	504055
178	1068	1883	2591	1068	1956	2764	1592	2604	5010	1592	2604	5010	1551	3568	7397	1551	3568	9632	136	158	262	136	158	262	16388	183232	505305	16388	183232	505305
179	1074	1893	2603	1074	1964	2774	1598	2612	5020	1598	2612	5020	1557	3576	7407	1557	3576	9642	137	159	264	137	159	264	16503	184268	506555	16503	184268	506555
180	1080	1903	2615	1080	1972	2784	1604	2620	5030	1604	2620	5030	1563	3584	7417	1563	3584	9652	138	160	266	138	160	266	16618	185304	507805	16618	185304	507805
181	1086	1913	2627	1086	1980	2794	1610	2628	5040	1610	2628	5040	1569	3592	7427	1569	3592	9662	139	161	268	139	161	268	16733	186340	509055	16733	186340	509055
182	1092	1923	2639	1092	1988	2804	1616	2636	5050	1616	2636	5050	1575	3600	7437	1575	3600	9672	140	162	270	140	162	270	16848	187376	510305	16848	187376	510305
183	1098	1933	2651	1098	1996	2814	1622	2644	5060	1622	2644	5060	1581	3608	7447	1581	3608	9682	141	163	272	141	163	272	16963	188412	511555	16963	188412	511555
184	1104	1943	2663	1104	2004	2824	1628	2652	5070	1628	2652	5070	1587	3616	7457	1587	3616	9692	142	164	274	142	164	274	17078	189448	512805	17078	189448	512805
185	1110	1953	2675	1110	2012	2834	1634	2660	5080	1634	2660	5080	1593	3624	7467	1593	3624	9702	143	165	276	143	165	276	17193	190484	514055	17193	190484	514055
186	1116	1963	2687	1116	2020	2844	1640	2668	5090	1640	2668	5090	1599	3632	7477	1599	3632	9712	144	166	278	144	166	278	17308	191520	515305	17308	191520	515305
187	1122	1973	2699	1122	2028	2854	1646	2676	5100	1646	2676	5100	1605	3640	7487	1605	3640	9722	145	167	280	145	167	280	17423	192556	516555	17423	192556	516555
188	1128	1983	2711	1128	2036	2864	1652	2684	5110	1652	2684	5110	1611	3648	7497	1611	3648	9732	146	168	282	146	168	282	17538	193592	517805	17538	193592	517805
189	1134	1993	2723	1134	2044	2874	1658	2692	5120	1658	2692	5120	1617	3656	7507	1617	3656	9742	147	169	284	147	169	284	17653	194628	519055	17653	194628	519055
190	1140	2003	2735	1140	2052	2884	1664	2700	5130	1664	2700	5130	1623	3664	7517	1623	3664	9752	148	170	286	148	170	286	17768	195664	520305	17768	195664	520305
191	1146	2013	2747	1146	2060	2894	1670	2708	5140	1670	2708	5140	1629	3672	7527	1629	3672	9762	149	171	288	149	171	288	17883	196700	521555	17883	196700	521555
192	1152	2023	2759	1152	2068	2904	1676	2716	5150	1676	2716	5150	1635	3680	7537	1635	3680	9772	150	172	290	150	172	290	17998	197736	522805	17998	197736	522805
193	1158	2033	2771	1158	2076	2914	1682	2724	5160	1682	2724	5160	1641	3688	7547	1641	3688	9782	151	173	292	151	173	292	18113	198772	524055	18113	198772	524055
194	1164	2043	2783	1164	2084	2924	1688	2732	5170	1688	2732	5170	1647	3696	7557	1647	3696	9792	152	174	294	152	174	294	18228	199808	525305	18228	199808	525305
195	1170	2053	2795	1170	2092	2934	1694	2740	5180	1694	2740	5180	1653	3704	7567	1653	3704	9802	153	175	296	153	175	296	18343	200844	526555	18343	200844	526555
196	1176	2063	2807	1176	2100	2944	1700	2748	5190	1700	2748	5190	1659	3712	7577	1659	3712	9812	154	176	298	154	176	298	18458	201880	527805	18458	201880	527805
197	1182	2073	2819	1182	2108	2954	1706	2756	5200	1706	2756	5200	1665	3720	7587	1665	3720	9822	155	177	300	155	177	300	18573	202916	529055	18573	202916	529055
198	1188	2083	2831	1188	2116	2964	1712	2764	5210	1712	2764	5210	1671	3728	7597	1671	3728	9832	156	178	302	156	178	302	18688	203952	530305	18688	203952	530305
199	1194	2093	2843	1194	2124	2974	1718	2772	5220	1718	2772	5220	1677	3736	7607	1677	3736	9842	157	179	304	157	179	304	18803	204988	531555	18803	204988	531555
200	1200	2103	2855	1200	2132	2984	1724	2780	5230	1724	2780	5230	1683	3744	7617	1683	3744	9852	158	180	306	158	180	306	18918	206024	532805	18918	206024	532805
201	1206	2113	2867	1206	2140	2994	1730	2788	5240	1730	2788	5240	1689	3752	7627	1689	3752	9862	159	181	308	159	181	308	19033	207060	534055	19033	207060	534055
202	1212	2123	2879	1212	2148	3004	1736	2796	5250	1736	2796	5250	1695	3760	7637	1695	3760	9872	160	182	310	160	182	310	19148	208096	535305	19148	208096	535305
203	1218	2133	2891	1218	2156	3014	1742	2804	5260	1742	2804	5260	1701	3768	7647	1701	3768	9882	161	183	312	161	183	312	19263	209132	536555	19263	209132	536555
204	1224	2143	2903	1224	2164	3024	1748	2812	5270	1748	2812	5270	1707	3776	7657	1707	3776	9892	162	184	314	162	184	314	19378	210168	537805	19378	210168	537805
205	1230	2153	2915	1230	2172	3034	1754	2820	5280	1754	2820	5280	1713	3784	7667	1713	3784	9902	163	185	316	163	185	316	19493	211204	539055	19493	211204	539055
206	1236	2163	2927	1236	2180	3044	1760	2828	5290	1760	2828	5290	1719	3792	7677	1719	3792	9912	164	186	318	164	186	318	19608	212240	540305	19608	212240	540305
207	1242	2173	2939	1242	2188	3054	1766	2836	5300	1766	2836	5300	1725	3800	7687	1725	3800	9922	165	187	320	165	187	320	19723	213276	541555	19723	213276	541555
208	1248	2183	2951	1248	2196	3064	1772	2844	5310	1772	2844	5310	1731	3808	7697	1731	3808	9932	166	188	322	166	188	322	19838	214312	542805	19838	214312	542805
209	1254	2193	2963	1254	2204	3074	1778	2852	5320	1778	2852	5320	1737	3816	7707	1737	3816	9942	167	189	324	167	189	324	19953	215348	544055	19953	215348	544055
210	1260	2203	2975	1260	2212	3084	1784	2860	5330	1784	2860	5330	1743	3824	7717	1743	3824	9952	168	190	326	168	190	326	20068	216384	545305	20068	216384	545305
211	1266	2213	2987	1266	2220	3094	1790	2868	5340	1790	2868	5340	1749	3832	7727	1749	3832	9962	169	191	328	169	191	328	20183	217420	546555	20183	217420	546555
212	1272	2223	2999	1272	2228	3104	1796	2876	5350	1796	2876	5350	1755	3840	7737	1755	3840	9972	170	192	330	170	192	330	20298	218456	547805	20298	218456	547805
213	1278	2233	3011	1278	2236	3114	1802	2884	5360	1802	2884	5360	1761	3848	7747	1761	3848	9982	171	193	332	171	193	332	20413	219492	549055	20413	219492	549055
214	1284	2243	3023	1284	2244	3124	1808	2892	5370	1808	2892	5370	1767	3856	7757	1767	3856	9992	172	194	334	172	194	334	20528	220528	550305	20528	220528	550305
215	1290	2253	3035	1290	2252	3134	1814	2900	5380	1814	2900	5380	1773	3864	7767	1773	3864	10002	173	195	336	173	195	336	20643	221564	551555	20643	221564	551555
216	1296	2263	3047	1296	2260	3144	1820	2908	5390	1820	2908	5390	1779	3872	7777	1779	3872	10012	174	196	338	174	196	338	20758	222600	552805	20758	222600	552805
217	1302	2273	3059	1302	2268	3154	1826	2916	5400	1826	2916	5400	1785	3880	7787	1785	3880	10022	175	197	340	175	197	340	20873	223636	554055	20873	223636	554055
218	1308	2283	3071	1308	2276	3164	1832	2924	5410	1832	2924	5410	1791	3888	7797	1791	3888	10032	176	198	342	176	198	342	20988	224672	555305	20988	224672	555305
219	1314	2293	3083	1314	2284	3174	1838	2932	5420	1838	2932	5420	1797	3896	7807	1797	3896	10042	177	199	344	177	199	344	21103	225708	556555	21103	225708	556555
220	1320	2303	3095	1320	2292	3184	1844	2940	5430	1844	2940	5430	1803	3904	7817	1803	3904	10052	178	200	346	178	200	346	21218	226744	557805	21218	226744	557805
221	1326	2313	3107	1326	2300	3194	1850	2948	5440	1850	2948	5440	1809	3912	7827	1809	3912	10062	179	201	348	179	201	348	21333	227780	559055	21333	227780	559055
222	1332	2323	3119	1332	2308	3204	1856	2956	5450	1856	2956	5450	1815	3920	7837	1815	3920	10072	180	202	350	180	202	350	21448	228816	560305	21448	228816	560305
223	1338	2333	3131	1338	2316	3214	1862	2964	5460	1862	2964	5460	1821	3928	7847	1821	3928	10082	181	203	352	181	203	352	21563	229852	561555	21563	229852	561555
224	1344	2343	3143	1344	2324	3224	1868	2972	5470	1868	2972	5470	1827	3936	7857	1827	3936	10092	182	204	354	182	204	354	21678	230888	562805	21678	230888	562805
225	1350	2353	3155	1350	2332	3234	1874	2980	5480	1874	2980	5480	1833	3944	7867	1833	3944	10102	183	205	356	183	205	356	21793	231924	564055	21793	231924	564055
226	1356	2363	3167	1356	2340	3244	1880	2988	5490	1880	2988	5490	1839	3952	7877	1839	3952	10112	184	206	358	184	206	358	21908	232960	565305	21908	232960	565305
227	1362	2373	3179	1362	2348	3254	1886	2996	5500	1886	2996	5500	1845	3960	7887	1845	3960	10122	185	207	360	185	207	360	22023	233996	566555	22023	233996	566555
228	1368	2383	3191	1368	2356	3264	1892	3004	5510	1892	3004	5510	1851	3968	7897	1851	3968	10132	186	208	362	186	208	362	22138	235032	567805	22138	235032	567805
229	1374	2393	3203	1374	2364	3274	1898	3012	5520	1898	3012	5520	1857	3976	7907	1857	3976	10142	187	209	364	187	209	364	22253	236068	569055	22253	236068	569055
230	1380	2403	3215	1380	2372	3284	1904	3020	5530	1904	3020	5530	1863	3984	7917	1863	3984	10152	188	210	366	188	210	366	22368	237104	570305	22368	237104	570305
231	1386	2413	3227	1386	2380	3294	1910	3028	5540	1910	3028	5540	1869	3992	7927	1869	3992	10162	189	211	368	189	211	368	22483	238140	571555	22483	238140	571555
232	1392	2423	3239	1392	2388	3304	1916	3036	5550	1916	3036	5550	1875	4000	7937	1875	4000	10172	190	212	370	190	212	370	22598	239176	572805	22598	239176	572805
233	1398	2433	3251	1398	2396	3314	1922	3044	5560	1922	3044	5560	1881	4008	7947	1881	4008	10182	191	213	372	191	213	372	22713	240212	574055	22713	240212	574055
234	1404	2443	3263	1404	2404	3324	1928	3052	5570	1928	3052	5570	1887	4016	7957	1887	4016	10192	192	214	374	192	214	374	22828	241248	575305	22828	241248	575305
235	1410	2453	3275	1410	2412	3334	1934	3060	5580	1934	3060	5580	1893	4024	7967	1893	4024	10202	193	215	376	193	215	376	22943	242284	576555	22943	242284	576555
236	1416	2463	3287	1416	2420	3344	1940	3068	5590	1940	3068	5590	1899	4032	7977	1899	4032	10212	194	216	378	194	216	378	23058	243320	577805	23058	243320	577805
237	1422	2473	3299	1422	2428	3354	1946	3076	5600	1946	3076	5600	1905	4040	7987	1905	4040	10222	195	217	380	195	217	380	23173	244356	579055	23173	244356	579055
238	1428	2483	3311	1428	2436	3364	1952	3084	5610	1952	3084	5610	1911	4048	7997	1911	4048	10232	196	218	382	196	218	382	23288	245392	580305	23288	245392	580305
239	1434	2493	3323	1434	2444	3374	1958	3092	5620	1958	3092	5620	1917	4056	8007	1917	4056	10242	197	219	384	197	219	384	23403	246428	581555	23403	246428	581555
240	1440	2503	3335	1440	2452	3384	1964	3100	5630	1964	3100	5630	1923	4064	8017	1923	4064	10252	198	220	386	198	220	386	23518	247464	582805	23518	247464	582805
241	1446	2513	3347	1446	2460	3394	1970	3108	5640	1970	3108	5640	1929	4072	8027	1929	4072	10262	199	221	388	199	221	388	23633	248500	584055	23633	248500	584055
242	1452	2523	3359	1452	2468	3404	1976	3116	5650	1976	3116	5650	1935	4080	8037	1935	4080	10272	200	222	390	200	222	390	23748	249536	585305	23748	249536	585305
243	1458	2533	3371	1458	2476	3414	1982	3124	5660	1982	3124	5660	1941	4088	8047	1941	4088	10282	201	223	392	201	223	392	23863	250572	586555	23863	250572	586555
244	1464	2543	3383	1464	2484	3424	1988	3132	5670	1988	3132	5670	1947	4096	8057	1947	4096	10292	202	224	394	202	224	394	23978	251608	587805	23978	251608	587805
245	1470	2553	3395	1470	2492	3434	1994	3140	5680	1994	3140	5680	1953	4104	8067	1953	4104	10302	203	225	396	203	225	396	24093	252644	589055	24093	252644	589055
246	1476	2563	3407	1476	2500	3444	2000	3148	5690	2000	3148	5690	1959	4112	8077	1959	4112	10312	204	226	398	204	226	398	24208	253680	590305	24208	253680	590305
247	1482	2573	3419	1482	2508	3454	2006	3156	5700	2006	3156	5700	1965	4120	8087	1965	4120	10322	205	227	400	205	227	400	24323	254716	591555	24323	254716	591555
248	1488	2583	3431	1488	2516	3464	2012	3164	5710	2012	3164	5710	1971	4128	8097	1971	4128	10332	206	228	402	206	228	402	24438	255752	592805	24438	255752	592805
249	1494	2593	3443	1494	2524	3474	2018	3172	5720	2018	3172	5720	1977	4136	8107	1977	4136	10342	207	229	404	207	229	404	24553	256788	594055	24553	256788	594055
250	1500	2603	3455	1500	2532	3484	2024	3180	5730	2024	3180	5730	1983	4144	8117	1983	4144	10352	208	230	406	208	230	406	24668	257824	595305	24668	257824	595305
