Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	minHP(N)	maxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	minHP(H)	maxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
fetishshaman1	278	fetishshaman1	fetishshaman2	0	RatManShaman	fetishshaman1		Demon	FetishShaman	RaiserDesummoner	FW	1							fetish1	fetishblow1		1	5	6	1	1		8	8	1	25	59	79	fetishshaman	fetishshaman	12	15	12	9	40	40	40	40	45	45	0	1	2	15	16	18	66	66	66	50	50	50																			1	1							1		1			1										FetishInferno	A1	10	FetishAura	A1	6	Resurrect2	seq_fetishres	1																50	40	30	-40	-33	-25							33	33	75	33	33	33	40	50	100	66	66	66	2				12	12	12	5	120	120	84	175										190	190	100	260										270	270	100	260																																																				Act 1 Cast C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C				1				0
fetishshaman2	279	fetishshaman1	fetishshaman3	1	FetishShaman	fetishshaman2		Demon	FetishShaman	RaiserDesummoner	FW	1							fetish2	fetishblow2		1	5	6	1	1		8	8	1	26	60	80	fetishshaman	fetishshaman	12	15	12	9	40	40	40	40	45	45	0	1	2	15	16	19	66	66	66	50	50	50																			1	1							1		1			1										FetishInferno	A1	10	FetishAura	A1	7	Resurrect2	seq_fetishres	1																50	40	30	-40	-33	-25							33	33	75	33	33	33	40	50	100	66	66	66	2				22	22	22	5	130	130	85	175										200	200	100	260										280	280	100	260																																																				Act 3 Cast A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) Cast A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) Cast A	Act 3 (H) Champ A	Act 3 (H) Unique A				1				0
fetishshaman3	280	fetishshaman1	fetishshaman4	2	FlayerShaman	fetishshaman3		Demon	FetishShaman	RaiserDesummoner	FW	1							fetish3	fetishblow3		1	5	6	1	1		9	9	1	27	60	80	fetishshaman	fetishshaman	12	15	12	9	40	40	40	40	45	45	1	2	2	15	17	20	66	66	66	50	50	50																			1	1							1		1			1										FetishInferno	A1	10	FetishAura	A1	8	Resurrect2	seq_fetishres	1																50	40	30	-40	-33	-25							33	33	75	33	33	33	40	50	104	66	66	66	2				23	23	23	5	140	140	85	175										210	210	100	260										290	290	100	260																																																				Act 3 Cast B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) Cast B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) Cast B	Act 3 (H) Champ B	Act 3 (H) Unique B				1				0
fetishshaman4	281	fetishshaman1	fetishshaman5	3	SoulKillerShaman	fetishshaman4		Demon	FetishShaman	RaiserDesummoner	FW	1							fetish3	fetishblow3		1	5	6	1	1		9	9	1	28	62	82	fetishshaman	fetishshaman	12	15	12	9	40	40	40	40	45	45	1	2	3	15	17	21	66	66	66	50	50	50																			1	1							1		1			1										FetishInferno	A1	10	FetishAura	A1	9	Resurrect2	seq_fetishres	1																50	40	30	-40	-33	-25							33	33	75	33	33	33	40	50	104	66	66	66	2				24	24	24	5	160	160	85	175										220	220	100	260										300	300	100	260																																																				Act 3 Cast B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) Cast B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) Cast B	Act 3 (H) Champ B	Act 3 (H) Unique B				1				0
fetishshaman5	282	fetishshaman1	fetishshaman6	4	StygianDollShaman	fetishshaman5		Demon	FetishShaman	raises Stygian Dolls	FW	1							fetish5	fetishblow5		1	5	6	1	1		10	10	1	30	63	83	fetishshaman	fetishshaman	12	12	9	6	40	40	40	40	45	45	1	2	3	15	18	22	66	66	66	50	50	50																			1	1							1		1			1										FetishInferno	A1	10	FetishAura	A1	10	Resurrect2	seq_fetishres	1																50	40	30	-40	-33	-25							33	25	75	50	50	50	40	50	104	75	75	75	2				25	25	25	5	900	900	85	1200										1600	1600	100	1600										2400	2400	100	1600																																																				Act 4 Cast A	Act 4 Champ A	Act 4 Unique A		Act 3 (N) Cast B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) Cast B	Act 3 (H) Champ B	Act 3 (H) Unique B				1				0
larva	283	larva		0	larva	larva			Idle		LV	1													4	4		1	1	0				larva	larva		15	15	15	40	40	40																																		1	1												1	1																																																									2																																																																																																											0
maggotqueen1	284	maggotqueen1	maggotqueen2	0	SandMaggotQueen	maggotqueen1		InsectDeity	SandMaggotQueen	InsectDeity	MQ	1			sandmaggot3	8	0	S1	sandmaggot5		1	1			1	1		4	4	1	25	66	86	maggotqueen	maggotqueen	10	15	12	9	40	40	40	80	80	80	8	8	8																				goospit5									1			1							1		1										MagottUp	seq_maggotup	1	MagottDown	seq_maggotdown	1	MagottLay	seq_maggotlay	1	QueenDeath	seq_queendeath	1													60	40	25										65	45	45	45	45	80	75	72	72	72	72	86	0				17	17	17	5	2000	2000	84	800	200	250	600							2625	2625	70	2300	250	300	400							2625	2625	70	2300	300	350	500																																																	Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A							1	0
maggotqueen2	285	maggotqueen1	maggotqueen3	1	RockWormQueen	maggotqueen2		InsectBehemoth	SandMaggotQueen	InsectBehemoth	MQ	1			sandmaggot2	8	0	S1							1	1		4	4	1	22	47	82	maggotqueen	maggotqueen	10	15	15	15	40	40	40	8	8	8	10	10	10																				goospit2									1												1										MagottUp	seq_maggotup	1	MagottDown	seq_maggotdown	1	MagottLay	seq_maggotlay	1	QueenDeath	seq_queendeath	1													75	50	25	-50	-40	-33																			2				15	15	15	5	350	350	84	800										270	270	70	600										270	270	70	600																																																				Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A							1	0
maggotqueen3	286	maggotqueen1	maggotqueen4	2	DevourerQueen	maggotqueen3		InsectBehemoth	SandMaggotQueen	InsectBehemoth	MQ	1			sandmaggot3	8	0	S1							1	1		4	4	1	18	48	83	maggotqueen	maggotqueen	10	15	15	15	40	40	40	9	10	11	8	8	8																				goospit3									1												1										MagottUp	seq_maggotup	1	MagottDown	seq_maggotdown	1	MagottLay	seq_maggotlay	1	QueenDeath	seq_queendeath	1													75	50	25	-50	-40	-33																			2				17	17	17	5	262	262	84	134										270	270	70	185										270	270	70	185																																																				Act 2 H2H B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B							1	0
maggotqueen4	287	maggotqueen1	maggotqueen5	3	GiantLampreyQueen	maggotqueen4		InsectBehemoth	SandMaggotQueen	InsectBehemoth	MQ	1			sandmaggot4	8	0	S1							1	1		4	4	1	22	49	84	maggotqueen	maggotqueen	10	15	15	15	40	40	40	10	11	12	6	6	6																				goospit4									1												1										MagottUp	seq_maggotup	1	MagottDown	seq_maggotdown	1	MagottLay	seq_maggotlay	1	QueenDeath	seq_queendeath	1													75	50	25	-50	-40	-33																			2				21	21	21	5	263	263	85	134										270	270	70	185										270	270	70	185																																																				Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A							1	0
maggotqueen5	288	maggotqueen1		4	WorldKillerQueen	maggotqueen5		InsectBehemoth	SandMaggotQueen	InsectBehemoth	MQ	1			sandmaggot5	8	0	S1							1	1		4	4	1	30	50	85	maggotqueen	maggotqueen	10	15	15	15	40	40	40	11	12	13	4	4	4																				goospit5									1												1										MagottUp	seq_maggotup	1	MagottDown	seq_maggotdown	1	MagottLay	seq_maggotlay	1	QueenDeath	seq_queendeath	1													75	50	25	-50	-40	-33																			2				29	29	29	5	264	264	84	153										270	270	70	185										270	270	70	185																																																				Act 4 H2H A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) H2H A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) H2H A	Act 4 (H) Champ A	Act 4 (H) Unique A							1	0
claygolem	289	claygolem	claygolemx	0	ClayGolem	claygolem	claynec	ElementalConstruct	NecroPet	ElementalConstruct	G1	1													1	1		8	10	0				claygolem	claygolem	5	6	6	6	40	40	40	85	85	85																														1						1					1			1	1			1																																				33	20					33	20					33	20					5		1		50	50	50	5	300	300	25		16	32	100	16	32	100				300	300	25		16	32	100	16	32	100				300	300	25		16	32	100	16	32	100																																																																0
bloodgolem	290	bloodgolem	bloodgolemx	0	BloodGolem	bloodgolem	bloodnec	ElementalConstruct	NecroPet	ElementalConstruct	G2	1													1	1		8	10	0				bloodgolem	bloodgolem	5	6	6	6	40	40	40	90	90	90																														1						1					1			1	1			1						BloodGolem	NU	0																						100	100	100				33	20					33	20					33	20					5		1		50	50	50	5	400	400	50		32	48	150	32	48	150				400	400	50		32	48	150	32	48	150				400	400	50		32	48	150	32	48	150																																																																0
irongolem	291	irongolem	irongolemx	0	IronGolem	irongolem	ironnec	ElementalConstruct	NecroPet	ElementalConstruct	G4	1													1	1		8	10	0				irongolem	irongolem	5	6	6	6	40	40	40	90	90	90																														1					1	1					1			1	1			1																																				33	20					33	20					33	20					5		1		50	50	50	5	500	500	75		48	96	200	48	96	200				500	500	75		48	96	200	48	96	200				500	500	75		48	96	200	48	96	200																																																																0
firegolem	292	firegolem	firegolemx	1	FireGolem	firegolem	firenec	ElementalConstruct	NecroPet	ElementalConstruct	G3	1													1	1		8	10	0				firegolem	firegolem	5	5	5	5	40	40	40	90	90	90																														1						1					1			1	1			1																																				33	20					33	20					33	20					5		1		50	50	50	5	600	600	100		18	25	250	56	112	250				600	600	100		56	112	250	56	112	250				600	600	100		56	112	250	56	112	250																																																																0
familiar	293	familiar		0	Dummy	familiar			Idle		FI														1	1		12	6	0							15	15	15	40	40	40	90	90	90																																				1								1				1																																																						0																																																																																																											0
act3male	294	act3male		0	Dummy	act3male			Towner		N4	1													1	1		3	2	0				mednpc	mednpc		15	15	15	40	40	40																																	1	1	1	1			1									1																																																									2																																																																																																											0
baboon6	295	baboon6		0	NightMarauder	baboon6	baboon6	Beast	Baboon	Beast	BB	1													2	3		10	16	1	26	59	85	baboon	baboon	10	15	14	13	40	40	40	33	33	33	20	30	35	50	50	50	50	50	50	1	2	3																			1	1									1			1	1																																				-40	-33	-25																			2			1	25	25	25	5	107	151	85	97	51	151	92	51	151	92				107	151	140	150	51	151	92	51	151	92				107	151	140	150	51	151	92	51	151	92				A1	cold	100	10	20	50	100	10	20	50	100	10	20	50																													Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
act3female	296	act3female		0	Dummy	act3female			Towner		N3	1													1	1		3	2	0				lightnpc	lightnpc		15	15	15	40	40	40																																	1		1	1			1									1																																																									2																																																																																																											0
natalya	297	natalya		0	Natalya	natalya			Npc		TZ	1													1	1		2	2	0				mednpc	mednpc		15	15	15	40	40	40																																	1		1	1	1		1									1			1																																																						2																																																																																																											0
vilemother1	298	vilemother1	vilemother2	0	FleshSpawner	vilemother1		Demon	VileMother		VM	1			vilechild1	0	0	NU							3	3		8	8	1	61	64	84	vilemother	vilemother	10	15	12	9	40	40	40	16	17	20	5	5	6	30	35	40	80	85	90	70	60	50	30	30	30	6	4	2													1	1							1		1			1	1									Nest	seq_vileres	1																						50	40	30	-33	-25	-10								50			60			66			100		2				24	24	24	5	205	220	63	200	128	188	130							340	340	80	200	128	188	130							400	400	80	200	128	188	130																																																	Act 4 Cast B	Act 4 Champ B	Act 4 Unique B		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
vilemother2	299	vilemother1	vilemother3	1	StygianHag	vilemother2		Demon	VileMother		VM	1			vilechild2	0	0	NU							3	3		8	8	1	38	65	85	vilemother	vilemother	10	15	12	9	40	40	40	17	18	21	5	5	6	30	35	40	80	90	95	70	60	50	30	30	30	6	4	2													1	1							1		1			1	1									Nest	seq_vileres	1																						50	40	30	-33	-25	-10								66			70			75			104		2				27	27	27	5	290	310	63	225	129	189	130							350	350	80	225	129	189	130							410	410	80	225	129	189	130																																																	Act 5 Cast A	Act 5 Champ A	Act 5 Unique A		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
vilemother3	300	vilemother1	vilemother4	2	Grotesque	vilemother3		Demon	VileMother		VM	1			vilechild3	0	0	NU							3	4		9	9	1	40	66	86	vilemother	vilemother	10	15	12	9	40	40	40	18	19	22	5	6	6	30	35	40	80	90	95	70	60	50	30	30	30	6	4	2													1	1							1		1			1	1									Nest	seq_vileres	1																						50	40	30	-33	-25	-10								66			85			75			104		2				29	29	29	5	320	320	63	250	130	190	130							360	360	80	250	130	190	130							420	420	80	250	130	190	130																																																	Act 5 Cast B	Act 5 Champ B	Act 5 Unique B		Act 4 (N) Cast B	Act 4 (N) Champ B	Act 4 (N) Unique B		Act 4 (H) Cast B	Act 4 (H) Champ B	Act 4 (H) Unique B								0
vilechild1	301	vilechild1	vilechild2	0	FleshBeast	vilechild1		Demon	VileDog		VC	1													3	3		8	10	1	46	64	84	vilechild	vilechild	9	15	12	9	40	40	40	80	85	90	10	7	6	80	85	90																									1	1							1					1	1							1																										50	40	30	-33	-25	-10											60						100		2				38	38	38	5	90	90	85	80	66	76	160							130	130	70	80	66	76	160							190	190	70	80	66	76	160																																																	Act 4 Cast B	Act 4 Champ B	Act 4 Unique B		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
vilechild2	302	vilechild1	vilechild3	1	StygianDog	vilechild2		Demon	VileDog		VC	1													3	3		9	11	1	48	65	85	vilechild	vilechild	9	15	12	9	40	40	40	80	85	90	8	6	4	80	85	90																									1	1							1					1	1							1																										50	40	30	-33	-25	-10											70						104		2				43	43	43	5	105	105	84	90	68	78	160							145	145	70	90	68	78	160							205	205	70	90	68	78	160																																																	Act 5 Cast A	Act 5 Champ A	Act 5 Unique A		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
vilechild3	303	vilechild1	vilechild4	2	GrotesqueWyrm	vilechild3		Demon	VileDog		VC	1													3	3		10	12	1	40	66	86	vilechild	vilechild	9	15	12	9	40	40	40	80	85	90	6	4	2	80	85	90																									1	1							1					1	1							1																										50	40	30	-33	-25	-10											85						104		2				47	47	47	5	120	120	84	100	70	80	160							160	160	70	100	70	80	160							220	220	70	100	70	80	160																																																	Act 5 Cast B	Act 5 Champ B	Act 5 Unique B		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
fingermage1	304	fingermage1	fingermage2	0	Groper	fingermage1		Undead	FingerMage	homing missiles	FR	1													3	3		10	16	1	37	65	85	fingermage	fingermage	10	15	12	9	40	40	40	50	50	50	60	70	80	50	50	50	30	30	30	20	20	20	5	5	5	40	40	40	6	4	2										1						1			1	1			1	1									FingerMageSpider	S1	10																									-33	-25	-10							40	50	66	75			50	66	80	100			3				24	24	24	5	250	275	85	200	90	180	130							310	310	100	200	90	180	130							370	370	100	200	90	180	130																																																	Act 5 Wraith A	Act 5 Champ A	Act 5 Unique A		Act 4 (N) Wraith A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Wraith A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
fingermage2	305	fingermage1	fingermage3	1	Strangler	fingermage2		Undead	FingerMage	homing missiles	FR	1													3	3		10	16	1	39	66	86	fingermage	fingermage	10	15	12	9	40	40	40	60	60	60	70	80	90	50	50	50	30	30	30	20	20	20	5	5	5	40	40	40	5	3	2										1						1			1	1			1	1									FingerMageSpider	S1	11																									-33	-25	-10							40	50	70	85			50	66	85	104			3				27	27	27	5	260	285	84	250	92	182	130							320	320	100	250	92	182	130							380	380	100	250	92	182	130																																																	Act 5 Wraith B	Act 5 Champ B	Act 5 Unique B		Act 4 (N) Wraith B	Act 4 (N) Champ B	Act 4 (N) Unique B		Act 4 (H) Wraith B	Act 4 (H) Champ B	Act 4 (H) Unique B								0
fingermage3	306	fingermage1	fingermage4	3	StormCaster	fingermage3	madae	Undead	FingerMage	homing missiles	FR	1													3	4		10	16	1	43	70	90	fingermage	fingermage	10	15	12	9	40	40	40	75	75	75	80	90	99	50	50	50	30	30	30	20	20	20	5	5	5	40	40	40	4	2	1										1						1			1	1			1	1									FingerMageSpider	S1	12																									-33	-25	-10							40	50	80	95			50	66	90	104			3				29	29	29	5	295	295	84	300	94	184	130							330	330	100	300	94	184	130							390	390	100	300	94	184	130																																																	Act 5 Wraith C	Act 5 Champ C	Act 5 Unique C		Act 4 (N) Wraith B	Act 4 (N) Champ B	Act 4 (N) Unique B		Act 4 (H) Wraith B	Act 4 (H) Champ B	Act 4 (H) Unique B								0
regurgitator1	307	regurgitator1	regurgitator2	0	Corpulent	regurgitator1		Demon	Regurgitator	eats and spits corpses	CS	1													3	3		6	12	1	36	64	84	regurgitator	regurgitator	10	15	12	9	40	40	40	70	75	75	20	20	20	40	50	50	20	25	30	5	6	7	26	29	32								regurgitatorcorpse								1	1							1					1	1							1		RegurgitatorEat	S1	11																						50	40	30	-40	-40	-33							40	50				80	50	66				100	3				24	24	24	5	300	320	85	200	138	178	150							360	360	95	200	138	178	150							420	420	95	200	138	178	150							A1	stam	50	44	66		66	66	99		100	99	120																														Act 4 H2H B	Act 4 Champ B	Act 4 Unique B		Act 4 (N) H2H A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) H2H A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
regurgitator2	308	regurgitator1	regurgitator3	1	CorpseSpitter	regurgitator2		Demon	Regurgitator	eats and spits corpses	CS	1													3	3		7	12	1	38	65	85	regurgitator	regurgitator	10	15	12	9	40	40	40	80	80	80	20	20	20	50	50	50	20	25	30	6	7	8	26	29	32								regurgitatorcorpse								1	1							1					1	1							1		RegurgitatorEat	S1	12																						50	40	30	-40	-40	-33							40	50				85	50	66				104	3				27	27	27	5	310	330	84	225	139	179	150							370	370	95	225	139	179	150							430	430	95	225	139	179	150							A1	stam	50	44	66		66	66	99		100	99	120																														Act 5 H2H A	Act 5 Champ A	Act 5 Unique A		Act 4 (N) H2H A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) H2H A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
regurgitator3	309	regurgitator1	regurgitator4	2	MawFiend	regurgitator3		Demon	Regurgitator	eats and spits corpses	CS	1													3	4		8	12	1	40	66	86	regurgitator	regurgitator	10	15	12	9	40	40	40	90	90	90	20	20	20	60	60	60	20	25	30	9	9	9	26	29	32								regurgitatorcorpse								1	1							1					1	1							1		RegurgitatorEat	S1	13																						50	40	30	-40	-40	-33							40	50				90	50	66				104	3				29	29	29	5	340	340	84	250	140	180	150							380	380	95	250	140	180	150							440	440	95	250	140	180	150							A1	stam	50	44	66		66	66	99		100	99	120																														Act 5 H2H B	Act 5 Champ B	Act 5 Unique B		Act 4 (N) H2H B	Act 4 (N) Champ B	Act 4 (N) Unique B		Act 4 (H) H2H B	Act 4 (H) Champ B	Act 4 (H) Unique B								0
doomknight1	310	doomknight1	dkfig1	0	DoomKnight	doomknight1		UndeadDemon	DoomKnight	Demon	UM	1													3	3		10	10	1	37	65	85	doomknight	doomknight	10	15	12	9	40	40	40	90	95	100	4	2	1	90	95	100	4	2	1																						1	1					1				1			1	1							1																													-33	-25	-10							40		90	66	66	70	50	104	50	50	50	80	2			1	32	32	32	5	300	320	107	200	122	182	140							360	360	115	200	122	182	140							425	425	115	200	122	182	140							A1	rand	60	33	66	50	75	44	88	75	100	60	120	100																													Act 4 H2H B	Act 4 Champ B	Act 4 Unique B		Act 4 (N) H2H A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) H2H A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
doomknight2	311	doomknight2	izualguard	0	AbyssKnight	doomknight2		UndeadDemon	AbyssKnight	Demon	UM	1	1												3	3		8	8	1	39	66	86	doomknight	doomknight	10	15	12	9	40	40	40	50	75	100	80	80	80	90	94	97	6	4	2	6	6	5	1	1	0	70	65	50	40	40	40										1						1				1			1	1									DoomKnightMissile	S1	1	MonBoneArmor	S1	1	MonBoneSpirit	S1	1																			-33	-25	-10							40		66	90	66	70	50		80	104	80	80	2			1	27	27	27	5	300	320	107	250	122	182	145							360	360	115	250	122	182	145							425	425	115	250	122	182	145							A1	rand	50	33	66	50	66	44	88	75	75	60	120	100																													Act 5 H2H B	Act 5 Champ B	Act 5 Unique B		Act 4 (N) H2H B	Act 4 (N) Champ B	Act 4 (N) Unique B		Act 4 (H) H2H B	Act 4 (H) Champ B	Act 4 (H) Unique B								0
doomknight3	312	doomknight3	dkmag1	0	OblivionKnight	doomknight3	madae	UndeadDemon	OblivionKnight	Demon	UM	1	1						doomknight2			1	2	2	3	3		8	8	1	43	68	88	doomknight	doomknight	10	15	12	9	40	40	40	6	7	8	25	26	27	400	300	200	50	50	50	80	85	90	30	30	30	30	30	30	9	10	11										1						1				1			1										DoomKnightMissile	S1	1	MonBoneArmor	S1	1	MonBoneSpirit	S1	1	MonDecrepify	S2	4	Bestow	seq_undeadbestow	15	MonCurseCast	S2	4										-40	-33	-25							40		70	70	70	80	50		90	90	90	90	2				29	29	29	5	360	360	107	300	120	180	150							400	400	115	300	120	180	150							450	450	115	300	120	180	150																																																	Act 5 H2H C	Act 5 Champ C	Act 5 Unique C		Act 4 (N) H2H B	Act 4 (N) Champ B	Act 4 (N) Unique B		Act 4 (H) H2H B	Act 4 (H) Champ B	Act 4 (H) Unique B								0
quillbear1	313	quillbear1	quillbear2	0	QuillBear	quillbear1	QuillBear	BeastBehemoth	QuillMother	BeastBehemoth	S7	1							quillrat1			1	2	3	2	2		6	8	1	1	50	70	quillrat	quillrat	10	15	12	9	40	40	40	75	75	80	50	75	80	8	6	6	15	12	9																						1	1												1																																		100	75	50	-50	-40	-33									33	33	33	33			66	66	66	66	2				3	3	3	5	120	160	84	150	50	100	101	20	30	150				280	280	80	190	52	102	101	40	50	150				400	400	80	190	52	102	101	50	60	150				A2	pois					15	10	15	50	20	20	25	75																													Quill 1	Act 1 Champ A	Act 1 Unique A		Quill 1 (N)	Act 1 (N) Champ A	Act 1 (N) Unique A		Quill 1 (H)	Act 1 (H) Champ A	Act 1 (H) Unique A								0
quillbear2	314	quillbear1	quillbear3	1	SpikeGiant	quillbear2	QuillBear	BeastBehemoth	QuillMother	BeastBehemoth	S7	1							quillrat2			1	2	3	2	2		6	8	1	7	52	72	quillrat	quillrat	10	15	12	9	40	40	40	75	75	80	50	75	80	8	6	6	15	12	9																						1	1												1																																		100	75	50	-40	-40	-33									33	33	33	33			66	66	66	66	2				6	6	6	5	150	210	84	150	26	126	102	25	35	151				290	290	80	190	28	128	102	40	50	151				410	410	80	190	28	128	102	50	60	151				A2	cold					5	25	40	100	15	35	60	150																													Quill 2	Act 1 Champ B	Act 1 Unique B		Quill 2 (N)	Act 1 (N) Champ A	Act 1 (N) Unique A		Quill 2 (H)	Act 1 (H) Champ A	Act 1 (H) Unique A								0
quillbear3	315	quillbear1	quillbear4	2	ThornBrute	quillbear3	QuillBear	BeastBehemoth	QuillMother	BeastBehemoth	S7	1							quillrat3			1	2	3	2	2		6	8	1	10	53	73	quillrat	quillrat	10	15	12	9	40	40	40	75	75	80	50	75	80	8	6	6	15	12	9																						1	1												1																																		100	75	50	-40	-40	-33									33	33	33	33			66	66	66	66	2				9	9	9	5	160	220	84	150	34	117	103	25	35	152				300	300	80	190	34	118	103	40	50	152				420	420	80	190	34	118	103	50	60	152				A2	cold					5	25	40	100	15	35	60	150																													Quill 3	Act 1 Champ B	Act 1 Unique B		Quill 3 (N)	Act 1 (N) Champ B	Act 1 (N) Unique B		Quill 3 (H)	Act 1 (H) Champ B	Act 1 (H) Unique B								0
