skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
fanaticism	2	6	1	2	0	52	skillname122	skillxsd122	skillxld122	skillan122	StrSkill3																	1					2	StrSkill22	StrSkill23	toht		2	StrSkill106	StrSkill23	dm34		2	FanYDam	StrSkill23	ln56		2	PartDam	StrSkill23	ln56/2		19	StrSkill18		ln12																																																									0
conviction	2	6	3	2	0	56	skillname123	skillxsd123	conviction3	skillan123	StrSkill3																	3	StrSkill90	StrSkill23	-min(ln34,150)		2	StrSkill21	StrSkill23	0		19	StrSkill18		ln12																																																																								0
redemption	3	6	2	3	0	54	skillname124	skillsd124	redemption3	skillan124	StrSkill3																	3	StrSkill107	StrSkill108	ln56		3	StrSkill109	StrSkill23	dm34		19	StrSkill18		ln12																																																																								0
salvation	3	6	3	3	0	58	skillname125	skillsd125	skillld125	skillan125	StrSkill3																	2	StrSkill54	StrSkill23	dm34		19	StrSkill18		ln12																																																																													0
bash	1	1	2	1	0	0	skillname126	skillsd126	skillld126	skillan126	StrSkill3	7	clc1	ln34										1				1					4	StrSkill4		ln34		2	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht																																																																			0
sword mastery	2	1	1	2	0	2	meleemastery	meleemastery2	meleemastery3	skillan127	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
axe mastery	2	1	2	2	0	4	mountainking	skillsd128	skillld128	skillan128	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
mace mastery	2	1	3	2	0	6	bountyhunter	skillsd129	skillld129	skillan129	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
howl	3	1	1	3	0	8	skillname130	skillsd130	skillld130	skillan130	StrSkill3																	1					12	StrSkill59		ln56		19	StrSkill58		ln34																																																																								0
find potion	3	1	3	3	0	10	skillname131	skillsd131	findpotion3	skillan131	StrSkill3																	1					7	StrSkill24		dm12																																																																													0
leap	1	2	1	1	0	12	skillname132	skillsd132	skillld132	skillan132	StrSkill3																	1					19	StrSkill18		dm12																																																																													0
double swing	1	2	3	1	0	14	skillname133	skillsd133	skillld133	skillan133	StrSkill3	19	clc1											2				5	StrSkill3		usmc/128		2	StrSkill22	StrSkill23	toht																						2	StrSkill4	StrSkill23	clc1																																																				0
pole arm mastery	2	2	1	2	0	16	skillname134	skillsd134	skillld134	skillan134	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
throwing mastery	2	2	2	2	0	18	skillname135	skillsd135	skillld135	skillan135	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
spear mastery	2	2	3	2	0	20	skillname136	skillsd136	skillld136	skillan136	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
taunt	3	2	1	3	0	22	skillname137	skillsd137	taunt3	skillan137	StrSkill3																	1					3	StrSkill57	StrSkill23	ln12		3	StrSkill38	StrSkill23	ln34																																																																								0
shout	3	2	2	3	0	24	skillname138	skillsd138	shout3	skillan138	StrSkill3																	1					12	StrSkill20		len		2	StrSkill21	StrSkill23	ln12+(stat('skillpower'.accr)*2)		5	dmgredstr		clc2																																																																			0
stun	1	3	2	1	0	26	dancingscimitars	skillsd139	skillld139	skillan139	StrSkill3	7	clc1											1				1					12	StrSkill20		min(250,edln)		3	StrSkill22	StrSkill23	toht																	2	StrSkill4	StrSkill23	clc1																																																				0
double throw	1	3	3	1	0	28	skillname140	skillsd140	skillld140	skillan140	StrSkill3	13												2				5	StrSkill3		usmc/128		8																									2	StrSkill4	StrSkill23	clc1																																																				0
increased stamina	2	3	1	2	0	30	skillname141	skillsd141	skillld141	skillan141	StrSkill3																	2	StrSkill71	StrSkill23	ln12																																																																																		0
find item	3	3	3	3	0	32	skillname142	skillsd142	finditem3	skillan142	StrSkill3																	1					7	StrSkill24		dm12																																																																													0
leap attack	1	4	1	1	0	34	skillname143	skillsd143	skillld143	skillan143	StrSkill3	7	clc1											2				1					2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1																																																																								0
concentrate	1	4	2	1	0	36	skillname144	skillsd144	skillld144	skillan144	StrSkill3	7	clc1											1				1					2	StrSkill4	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht		2	StrSkill31	StrSkill23	ln34												2	StrSkill39	StrSkill23	clc4																																																				0
iron skin	2	4	3	2	0	38	skillname145	skillsd145	skillld145	skillan145	StrSkill3																	6	StrSkill23		ln12																																																																																		0
battle cry	3	4	1	3	0	40	skillname146	skillsd146	battlecry3	skillan146	StrSkill3																	1					3	StrSkill4	StrSkill23	ln56		3	StrSkill21	StrSkill23	ln34		12	StrSkill20		ln12																																																																			0
frenzy	1	5	3	1	0	42	skillname147	skillsd147	skillld147	skillan147	StrSkill3	19	clc1											2				5	StrSkill3		usmc/128		52	StrSkill89	StrSkill23	15*(par4-par3)/100+par3	dm34	52	StrSkill106	StrSkill23	15*(par6-par5)/100+par5	dm56	2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1							12	StrSkill20		par7		2	StrSkill39	StrSkill23	clc4																																															0
increased speed	2	5	1	2	0	44	skillname148	skillsd148	skillld148	skillan148	StrSkill3																	2	StrSkill89	StrSkill23	dm12																																																																																		0
battle orders	3	5	2	3	0	46	skillname149	skillsd149	battleorders3	skillan149	StrSkill3																	1					3	StrSkill101	StrSkill23	ln34+(stat('skillpower'.accr)*2)		3	StrSkill100	StrSkill23	ln34+(stat('skillpower'.accr)*2)		3	StrSkill102	StrSkill23	ln34+(stat('skillpower'.accr)*2)		12	StrSkill20		len																																																														0
grim ward	3	5	3	3	0	48	skillname150	skillsd150	skillld150	skillan150	StrSkill3																	1					19	StrSkill18		ln12		12	StrSkill20		ln34																																																																								0
whirlwind	1	6	1	1	0	50	skillname151	skillsd151	whirlwind3	skillan151	StrSkill3	1	clc1											1				1					2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1		9		clc3																																																																				0
berserk	1	6	2	1	0	52	skillname152	skillsd152	skillld152	skillan152	StrSkill3	7	clc1											2				1					12	StrSkill20		par4-min(((110*lvl)/(lvl+6)*(par4-par3)/100),(par4-par3))		2	StrSkill39	StrSkill23	clc1		2	StrSkill22	StrSkill23	toht																																																																			0
natural resistance	2	6	3	2	0	54	skillname153	skillsd153	skillld153	skillan153	StrSkill3																	2	StrSkill90	StrSkill23	dm12																																																																																		0
war cry	3	6	1	3	0	56	skillname154	skillsd154	skillld154	skillan154	StrSkill3	5																1					12	StrSkill48		min(250,ln12)		9					10																																																																						0
battle command	3	6	2	3	0	58	songofwar	skillsd155	skillld155	skillan155	StrSkill3																	1					12	StrSkill20		len																																																																													0
scroll of identify	0	0	0	4	1	14	skillname217	skillsd217	skillld217	skillan217																		53	isc																																																																																				0
book of identify	0	0	0	4	0	14	skillname218	skillsd218	skillld218	skillan218																		55	ibk																																																																																				0
scroll of townportal	0	0	0	4	2	18	skillname219	skillsd219	skillld219	skillan219																		54	tsc																																																																																				0
book of townportal	0	0	0	4	0	18	skillname220	skillsd220	skillld220	skillan220																		56	tbk																																																																																				0
raven	1	1	2	1	0	0	Skillname222	Skillsd222	raven3	Skillan222	Eskillincaseraven																	1					5	ESkillHawk		clc3		7	StrSkill11		ln56		9																																																																						0
plague poppy	1	1	3	1	0	2	Skillname223	Skillsd223	plague3	Skillan223	StrSkill3																	1					14					13			(lvl-1)*par3																																																																								0
wearwolf	2	1	1	2	0	20	Skillname224	Skillsd224	Skillld224	Skillan224	StrSkill3																	2	StrSkill106	StrSkill23	dm34		2	StrSkill10	StrSkill23	toht																						12	StrSkill20		1000+skill('shape shifting'.ln12)		2	StrSkill71	StrSkill23	par1		2	StrSkill42	StrSkill23	par2+skill('shape shifting'.ln34)		1																																								0
shape shifting	2	1	2	2	0	52	Skillname225	Skillsd225	Skillld225	Skillan225	StrSkill3																	57	StrSkill20		ln12		2	StrSkill100	StrSkill23	ln34+(blvl*2)-10																																																																													0
firestorm	3	1	1	3	0	32	Skillname226	Skillsd226	Skillld226	Skillan226	StrSkill3	9																27																														1																																																							0
oak sage	1	2	1	1	0	16	Skillname227	Skillsd227	oaksage3	Skillan227	StrSkill3																	1					19	StrSkill18		ln78		2	StrSkill42	StrSkill23	ln12		13			(lvl-1)*par1																																																																			0
summon spirit wolf	1	2	2	1	0	6	Skillname228	Skillsd228	Skillld228	Skillan228	StrSkill3																	2	StrSkill21	StrSkill23	ln56		2	StrSkill22	StrSkill23	ln12		5	ESkillWolves		min(lvl,par3)		9			skill('Summon Grizzly'.ln12)												13			(skill('summon fenris'.lvl) > 0) ? skill('summon fenris'.ln12) : 0		1																																																		0
wearbear	2	2	3	2	0	22	Skillname229	Skillsd229	Skillld229	Skillan229	StrSkill3																	2	StrSkill21	StrSkill23	ln34		2	StrSkill4	StrSkill23	ln12																						12	StrSkill20		1000+skill('shape shifting'.ln12)		2	StrSkill42	StrSkill23	par5 + skill('Shape Shifting'.ln34)		1																																													0
molten boulder	3	2	1	3	0	34	Skillname230	Skillsd230	Skillld230	Skillan230	StrSkill3	5													moltenboulderfirepath			1					22					10					9																																																																						0
arctic blast	3	2	3	3	0	36	Skillname231	Skillsd231	Skillld231	Skillan231	StrSkill3	8																3	StrSkill3	StrSkill34	mps		19	StrSkill56		ln12/4		11					26															5	StrSkill115		par3																																																				0
cycle of life	1	3	3	1	0	8	Skillname232	Skillsd232	cycle3	Skillan232	StrSkill3			X														1					3	StrSkill50	StrSkill23	dm56		13			(lvl-1)*par3																																																																								0
feral rage	2	3	1	2	0	54	Skillname233	Skillsd233	Skillld233	Skillan233	StrSkill3	7	ln56											2				2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	ln56		52	EskillLifeSteal	StrSkill23	4	par2 * lvl + 8	52	StrSkill89	StrSkill23	19	((110*(par8+lvl/par7)) * (par4-par3))/(100 * ((par8+lvl/par7)+6)) + par3											12	StrSkill20		par1		1																																																		0
maul	2	3	3	2	0	56	Skillname234	Skillsd234	Skillld234	Skillan234	StrSkill3	1												2				2	StrSkill22	StrSkill23	toht		52	StrSkill4	StrSkill23	par3	par3 * (lvl/par7+par8)	12	StrSkill48		dm56																	12	StrSkill20		par4		1																																																		0
eruption	3	3	1	3	0	38	Skillname235	Skillsd235	Skillld235	Skillan235	StrSkill3	5													erruption center			23	StrSkill20				10																									1																																																							0
cyclone armor	3	3	3	3	0	40	Skillname236	Skillsd236	Skillld236	Skillan236	StrSkill3																	1					3	StrSkill40	StrSkill41	(ln12*(100+(skill('Twister'.blvl)+skill('Tornado'.blvl)+skill('Hurricane'.blvl))*par8)/100)																																																																													0
heart of wolverine	1	4	1	1	0	10	Skillname237	Skillsd237	how3	Skillan237	StrSkill3			X														1					19	StrSkill18		ln78		2	StrSkill22	StrSkill23	ln34		2	StrSkill4	StrSkill23	ln56		13			(lvl-1)*par1																																																														0
summon fenris	1	4	2	1	0	12	Skillname238	Skillsd238	Skillld238	Skillan238	StrSkill3																	2	StrSkill42	StrSkill23	ln12		5	ESkillWolves		min(lvl,par3)+stat('item_add_fenris'.accr)		9			-25		13			ln12												2	StrSkill21	StrSkill23	skill('Summon Spirit Wolf'.ln56)		2	StrSkill22	StrSkill23	skill('Summon Spirit Wolf'.ln12)		1																																													0
rabies	2	4	1	2	0	24	Skillname239	Skillsd239	Skillld239	Skillan239	StrSkill3	23												2				14					2	StrSkill22	StrSkill23	toht																						1																																																							0
fire claws	2	4	2	2	0	26	Skillname240	Skillsd240	Skillld240	Skillan240	StrSkill3	5												1				1					2	StrSkill22	StrSkill23	toht		10					9																																																																						0
twister	3	4	2	3	0	42	Skillname241	Skillsd241	Skillld241	Skillan241	StrSkill3	5																9																														1					12	StrSkill48		par2																																															0
vines	1	5	3	1	0	14	Skillname242	Skillsd242	vines3	Skillan242	StrSkill3			X														1					3	StrSkill88	StrSkill23	dm56							13			(lvl-1)*par3																																																																			0
hunger	2	5	2	2	0	58	Skillname243	Skillsd243	Skillld243	Skillan243	StrSkill3	14												1				1					2	StrSkill22	StrSkill23	toht		3	EskillManaSteal	StrSkill23	dm34		3	EskillLifeSteal	StrSkill23	dm12												3	StrSkill4	StrSkill23	par5																																																				0
shock wave	2	5	3	2	0	28	Skillname244	Skillsd244	Skillld244	Skillan244	StrSkill3	5																1					10					9					12	StrSkill48		ln12																																																																			0
volcano	3	5	1	3	0	44	Skillname245	Skillsd245	Skillld245	Skillan245	StrSkill3	5																11					10					9					8															1																																																							0
tornado	3	5	2	3	0	46	Skillname246	Skillsd246	Skillld246	Skillan246	StrSkill3	5																11					10					9					8															1																																																							0
spirit of barbs	1	6	1	1	0	4	Skillname247	Skillsd247	barbs3	Skillan247	StrSkill3			X														1					19	StrSkill18		ln78		7	StrSkill55		ln34		13			(lvl-1)*par1																																																																			0
summon grizzly	1	6	2	1	0	18	Skillname248	Skillsd248	grizzly3	Skillan248	StrSkill3																	2	StrSkill4	StrSkill23	ln12		9			ln12																						2	StrSkill21	StrSkill23	skill('Summon Spirit Wolf'.ln56)		2	StrSkill22	StrSkill23	skill('Summon Spirit Wolf'.ln12)		13			skill('summon fenris'.ln12)		1																																								0
fury	2	6	1	2	0	30	Skillname249	Skillsd249	Skillld249	Skillan249	StrSkill3	7	ln34											2				1					2	StrSkill4	StrSkill23	ln34		2	StrSkill30	StrSkill23	toht		7	StrSkill11		min((par5+lvl-1),par6)																																																																			0
armageddon	3	6	1	3	0	50	Skillname250	Skillsd250	Skillld250	Skillan250	StrSkill3	5													armageddonfire			10					22																									1					19	StrSkill18		par3		12	StrSkill20		ln12 + skill('Eruption'.blvl) * par7																																										0
hurricane	3	6	2	3	0	48	Skillname251	Skillsd251	Skillld251	Skillan251	StrSkill3	5																10																														1					19	StrSkill18		par3		12	StrSkill20		ln12 + skill('Cyclone Armor'.blvl) * par7																																										0
fire trauma	1	1	2	1	0	0	Skillname252	Skillsd252	Skillld252	Skillan252	StrSkill3	5																1					10																									19	StrSkill18		clc1																																																				0
claw mastery	2	1	2	2	0	20	Skillname253	Skillsd253	Skillld253	Skillan253	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	StrSkill23	math		2	StrSkill4	StrSkill23	madm																																																																								0
psychic hammer	2	1	3	2	0	22	Skillname254	Skillsd254	Skillld254	Skillan254	StrSkill3	5																1			100		11					10					9																																																																						0
tiger strike	3	1	2	3	0	40	Skillname255	Skillsd255	Skillld255	Skillan255	StrSkill3	5												1				1					2	StrSkill22	StrSkill23	toht		2	Eskillpowerup3	Eskillpuddgmper	3*ln12		2	Eskillpowerup2	Eskillpuddgmper	2*ln12		2	Eskillpowerup1	Eskillpuddgmper	ln12		9																																																												0
dragon talon	3	1	3	3	0	42	Skillname256	Skillsd256	Skillld256	Skillan256	StrSkill3	15												5				1					2	StrSkill22	StrSkill23	toht		2	Eskillkickdamage	StrSkill23	ln12		36	EskillKickSing	EskillKickPlur	lvl/6+1																																																																			0
shock field	1	2	1	1	0	2	Skillname257	Skillsd257	Skillld257	Skillan257	StrSkill3	5													shock field on ground			1					38	StrSkill7	StrSkill34	edmn	edmx	23	StrSkill20				5	ESkillSpikes		par1+lvl/par2+skill('Fire Trauma'.blvl)/3																																40	Sksyn	Skillname257	2		71	Skillname252	Missplev3	3		63	Skillname262	Ltngdplev	par8		63	Skillname272	Ltngdplev	par8		63	Skillname277	Ltngdplev	par8												0
blade sentinel	1	2	3	1	0	4	Skillname258	Skillsd258	Skillld258	Skillan258	StrSkill3	5																72	WeapDamsk		3	8	9					12	StrSkill20		ln12																	1																																																							0
quickness	2	2	1	2	0	36	Skillname259	Skillsd259	Skillld259	Skillan259	StrSkill3																	1					12	StrSkill20		ln56		2	StrSkill89	StrSkill23	dm12		2	StrSkill106	StrSkill23	dm34																																																																			0
fists of fire	3	2	1	3	0	44	Skillname260	Skillsd260	Skillld260	Skillan260	StrSkill3	20			fire	enma	exma	fire	enma	exma	fire	enma+m1eo*50/256	exma+m1ey*50/256	2	fistsoffirefirewall			1					2	StrSkill22	StrSkill23	toht		17	Eskillfistsoffire1	Eskillpowerup3	m1eo*50/256	m1ey*50/256	19	Eskillfistsoffire2	Eskillpowerup2	par1		24	Eskillfistsoffire1	Eskillpowerup1																												40	Sksyn	Skillname260	2		63	Skillname281	Firedplev	par8																											0
dragon claw	3	2	3	3	0	46	Skillname261	Skillsd261	Skillld261	Skillan261	StrSkill3	19	ln12											2				1					2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	ln12 + (skill('Claw Mastery'.blvl)) * par8																																					40	Sksyn	Skillname261	2		63	Skillname253	Damplev	par8																											0
charged bolt sentry	1	3	1	1	0	6	Skillname262	Skillsd262	Skillld262	Skillan262	StrSkill3																	10																														1					3	StrSkill72	StrSkill73	ln34 + skill('Shock Field'.blvl)/3		3	ESkillShoots	ESkillTimes	par1 + skill('Lightning Sentry'.blvl)/4							40	Sksyn	Skillname262	2		71	Skillname257	Boltplev3	3		71	Skillname272	Shotplev3	4		63	Skillname252	Ltngdplev	par8		63	Skillname272	Ltngdplev	par8		63	Skillname277	Ltngdplev	par8							0
wake of fire sentry	1	3	2	1	0	8	Skillname263	Skillsd263	Skillld263	Skillan263	StrSkill3																	1					10																									3	ESkillShoots	ESkillTimes	par1																	2	energysyn	StrSkill23	stat('energy'.base/3)+(blvl*7)*(ulvl)		63	Skillname252	Firedplev	par8		63	Skillname273	Firedplev	par8																						0
weapon block	2	3	2	2	0	26	Skillname264	Skillsd264	Skillld264	Skillan264	StrSkill3																	7	StrSkill24		dm12																																																																																		0
cloak of shadows	2	3	3	2	0	24	Skillname265	Skillsd265	Skillld265	Skillan265	StrSkill3																	2	StrSkill25	StrSkill23	-min(ln56,95)		2	StrSkill31	StrSkill23	ln78		12	StrSkill20		ln34																	1					19	StrSkill56		dm12																																															0
cobra strike	3	3	2	3	0	50	Skillname266	Skillsd266	Skillld266	Skillan266	StrSkill3	5												1				1					2	StrSkill22	StrSkill23	toht		2	Eskillpowerup3	Eskillpudmana	2*ln12		2	Eskillpowerup2	Eskillpudmana	ln12		2	Eskillpowerup1	Eskillpudlife	ln12																																																														0
blade fury	1	4	3	1	0	10	Skillname267	Skillsd267	Skillld267	Skillan267	StrSkill3	24																61	StrSkill3	EskillPerBlade	usmc	10	72	WeapDamsk		3	4	9																				5	StrSkill115		par3																																																				0
fade	2	4	1	2	0	30	Skillname268	Skillsd268	Skillld268	Skillan268	StrSkill3																	1					12	StrSkill20		ln56		3	StrSkill54	StrSkill23	dm12		3	StrSkill85	StrSkill23	dm34																																																																			0
shadow warrior	2	4	2	2	0	38	Skillname269	Skillsd269	Skillld269	Skillan269	StrSkill3																	1					2	StrSkill31	StrSkill23	(lvl-1)*par3		4	StrSkill22		lvl*par2		13			(lvl-1)*par1																																																																			0
claws of thunder	3	4	1	3	0	58	Skillname270	Skillsd270	Skillld270	Skillan270	StrSkill3	20			ltng	enma	exma	ltng	enma+m2en	exma+m2ex	ltng	enma+m2en+m3en	exma+m2ex+m3ex	2		clawsofthundernova	clawsofthunderbolt	1					2	StrSkill22	StrSkill23	toht		62	Eskillpowerup3	Eskillthunder3	m3en	m3ex	62	Eskillpowerup2	Eskillthunder2	m2en	m2ex	24	Eskillthunder1	Eskillpowerup1																												40	Sksyn	Skillname270	2		63	Skillname281	Ltngdplev	par8																											0
dragon tail	3	4	3	3	0	48	Skillname271	Skillsd271	Skillld271	Skillan271	StrSkill3	16												5				1					2	StrSkill22	StrSkill23	toht		2	Eskillfistsoffire1	StrSkill23	ln12																	19	StrSkill18		par3																																																				0
lightning sentry	1	5	1	1	0	12	Skillname272	Skillsd272	lightningsentry3	Skillan272	StrSkill3	5																1					10																									3	ESkillShoots	ESkillTimes	par1																	2	energysyn	StrSkill23	stat('energy'.base/3)+(blvl*7)*(ulvl*2)		63	Skillname277	Ltngdplev	clc1																											0
inferno sentry	1	5	2	1	0	14	Skillname273	Skillsd273	Skillld273	Skillan273	StrSkill3	8	0	3														1					59	StrSkill5		edns*25/768	edxs*25/768																					3	ESkillShoots	ESkillTimes	par1																	40	Sksyn	Skillname273	2		42	Skillname263	Rangplev	0	5	63	Skillname252	Firedplev	par7		63	Skillname263	Firedplev	par8		63	Skillname277	Firedplev	par7												0
mind blast	2	5	3	2	0	34	Skillname274	Skillsd274	Skillld274	Skillan274	StrSkill3	5																3	StrSkill99	StrSkill23	dm56		12	StrSkill48		min(250,edln)		9																				1					16	StrSkill20		par3	par3+par4																																														0
blades of ice	3	5	1	3	0	52	Skillname275	Skillsd275	Skillld275	Skillan275	StrSkill3	20			cold	enma	exma	cold	enma	exma	cold	enma	exma	2				1					2	StrSkill22	StrSkill23	toht		12	Eskillbladesofice3	Eskillpowerup3	edln		19	Eskillbladesofice2	Eskillpowerup2	par1		24	Eskillbladesofice1	Eskillpowerup1	par1																											40	Sksyn	Skillname275	2		63	Skillname281	Colddplev	par8																											0
dragon flight	3	5	3	3	0	54	Skillname276	Skillsd276	Skillld276	Skillan276	StrSkill3	15												5				1					2	StrSkill22	StrSkill23	toht		2	Eskillkickdamage	StrSkill23	ln12																																																																								0
death sentry	1	6	1	1	0	16	Skillname277	Skillsd277	deathsentry3	Skillan277	StrSkill3	5																1					10					37	StrSkill18		skill('mon death sentry'.par3) + skill('mon death sentry'.par4) * (lvl - 1)																	3	ESkillShoots	ESkillTimes	clc1		38	Corexpdam	StrSkill46	10*blvl	15*lvl											2	energysyn	StrSkill23	stat('energy'.base/3)+(blvl*7)*(ulvl)																																0
blade shield	1	6	3	1	0	18	Skillname278	Skillsd278	bladeshield3	Skillan278	StrSkill3	5																1					12	StrSkill20		clc1		72	WeapDamsk		1	4	9															19	StrSkill18		clc2																	2	strsyn	StrSkill23	stat('strength'.base)+(blvl*7)*(ulvl)																																0
venom	2	6	1	2	0	28	Skillname279	Skillsd279	Skillld279	Skillan279	StrSkill3																	1					12	StrSkill20		ln12		14																																																																											0
shadow master	2	6	2	2	0	32	Skillname280	Skillsd280	Skillld280	Skillan280	StrSkill3																	1					2	StrSkill54	StrSkill23	((110*(lvl-1))/(lvl+5)*(par4-par3))/100+par3		4	StrSkill22		lvl*par2		13			(lvl-1)*par1																																																																			0
royal strike	3	6	2	3	0	56	Skillname281	Skillsd281	Skillld281	Skillan281	StrSkill3	18			fire	m1en	m1ex	ltng	m2en	m2ex	cold	m3en	m3ex	1	royalstrikemeteor	royalstrikechainlightning	royalstrikechaosice	1					2	StrSkill22	StrSkill23	toht		62	Eskillpowerup3	Eskillphoenix3	m3en	m3ex	62	Eskillpowerup2	Eskillphoenix2	m2en	m2ex	38	StrSkill83	StrSkill34	miss('royalstrikemeteorfire'.edns)*75/256	miss('royalstrikemeteorfire'.edxs)*75/256	62	Eskillpowerup1	Eskillphoenix1	m1en	m1ex																					40	Sksyn	Skillname281	2		63	Skillname260	Firedplev	10		63	Skillname260	AFDImm	6		63	Skillname270	Ltngdplev	13		63	Skillname275	Colddplev	10												0
delerium change	0	0	0	0	0	2	Runeword22	Runeword22	Runeword22	Runeword22	StrSkill3																																																																																																						0
solitudedesc	0	0	0	0	0	9	solitstr	solitstr	solitstr	solitstr		20			ltng	enma	exma	ltng	enma+m2en	exma+m2ex	ltng	enma+m2en+m3en	exma+m2ex+m3ex	2		clawsofthundernova	clawsofthunderbolt	1					2	StrSkill22	StrSkill23	toht		62	Eskillpowerup3	Eskillthunder3	m3en	m3ex	62	Eskillpowerup2	Eskillthunder2	m2en	m2ex	24	Eskillthunder1	Eskillpowerup1																												40	Sksyn	Skillname270	2		63	Skillname281	Ltngdplev	par8																											0
mountain king	0	0	0	0	0	3	solitstr	solitstr	solitstr	solitstr	StrSkill3																																																																																																						0
