String	Index
Lightreaper	Lightreaper
Traitor’s Mark	Traitor’s Mark
Pelta Lunata	Pelta Lunata
Golgomere's Shield	Golgomere's Shield
Skein of Deceit	Skein of Deceit
Umbral Disk	Umbral Disk
Crest of the Horned Society	Crest of the Horned Society
Lepertouch	Lepertouch
Stormguild	Stormguild
Doomhedge	Doomhedge
Cacophony	Cacophony
Wall of the Eyeless	Wall of the Eyeless
Fanged Shield	Fanged Shield
Debtfinisher	Debtfinisher
Swordback Hold	Swordback Hold
Crest of Avalon	Crest of Avalon
Killhunger	Killhunger
Steelclash	Steelclash
Bigby's Crushing Fist	Bigby's Crushing Fist
Knight's Dawn	Knight's Dawn
Bverrit Keep	Bverrit Keep
Pathfinder	Pathfinder
Shield of Osirus	Shield of Osirus
The Ward	The Ward
Yemista's Defender	Yemista's Defender
Mongolian Trust	Mongolian Trust
Visceratuant	Visceratuant
Doom's Mirror	Doom's Mirror
Undead Buckler	Undead Buckler
Mosers Blessed Circle	Mosers Blessed Circle
Savant Sin	Savant Sin
Spellbreaker	Spellbreaker
Stormchaser	Stormchaser
Under Dragon's Wing	Under Dragon's Wing
Wishgranter	Wishgranter
Tiamat's Rebuke	Tiamat's Rebuke
Adamantine Shield	Adamantine Shield
Shieldmaiden's Shield	Shieldmaiden's Shield
Kerke's Sanctuary	Kerke's Sanctuary
Dreadwall	Dreadwall
Crusader's Wall	Crusader's Wall
Radimant's Sphere	Radimant's Sphere
Ghoulspawner	Ghoulspawner
Lichward	Lichward
Lidless Wall	Lidless Wall
Raptarfang	Raptarfang
Razorbite Deflecter	Razorbite Deflecter
Lance Guard	Lance Guard
Chill of Winter	Chill of Winter
Sun Tormenter	Sun Tormenter
Solar Eclipse	Solar Eclipse
Blackoak Shield	Blackoak Shield
Shield of Myth	Shield of Myth
Safewarden	Safewarden
Fortress of Solitude	Fortress of Solitude
Stormshield	Stormshield
Lachdonnan's Guard	Lachdonnan's Guard
Medusa's Gaze1	Medusa's Gaze1
Braced for Battle	Braced for Battle
Spirit Ward	Spirit Ward
Cry of the Wretched	Cry of the Wretched
Headhunter's Glory	Headhunter's Glory
Baal's Wing	Baal's Wing
Spike Thorn	Spike Thorn
Blisterpain	Blisterpain
Goblin Touch	Goblin Touch
The Hand of Broc	The Hand of Broc
Healing Touch	Healing Touch
Fiendfeast	Fiendfeast
Bloodfist	Bloodfist
Horseman's Gloves	Horseman's Gloves
Green God's Bracers	Green God's Bracers
Chance Guards	Chance Guards
Prismatic Gauntlets	Prismatic Gauntlets
Skein of Pain	Skein of Pain
Magefist	Magefist
Viridian Gloves	Viridian Gloves
Firesign	Firesign
Frostburn	Frostburn
Devil’s Invocation	Devil’s Invocation
Marauder's Claw	Marauder's Claw
Venom Grip	Venom Grip
Lady of the Lake	Lady of the Lake
Conspiracy of Thieves	Conspiracy of Thieves
Gravepalm	Gravepalm
Spikefiend Bracers	Spikefiend Bracers
Rapturous Blessings	Rapturous Blessings
Ghoulhide	Ghoulhide
Warlock's Touch	Warlock's Touch
Gryphon's Claw	Gryphon's Claw
Lavagout	Lavagout
Burning Soul	Burning Soul
Threat of Retribution	Threat of Retribution
Hellmouth	Hellmouth
Mephisto's Claw	Mephisto's Claw
Griefspawn	Griefspawn
Bloodyearn	Bloodyearn
Dracul's Grasp	Dracul's Grasp
Lachdonnan's Bracers	Lachdonnan's Bracers
Souldrain	Souldrain
Paladin's Quest	Paladin's Quest
Hellhunger	Hellhunger
Black Lotus	Black Lotus
Steelrend	Steelrend
Cheetah Speed	Cheetah Speed
Marathon Slipper	Marathon Slipper
Hotspur	Hotspur
Gillian's Boots	Gillian's Boots
Angel's Tread	Angel's Tread
Gorefoot	Gorefoot
Pepin's Grace	Pepin's Grace
Bonemesh	Bonemesh
Treads of Cthon	Treads of Cthon
Dawn Scion	Dawn Scion
Lilith's Heels	Lilith's Heels
Goblin Toe	Goblin Toe
Dark Familiar	Dark Familiar
Grimleaper	Grimleaper
Tearhaunch	Tearhaunch
Hooves of Satan	Hooves of Satan
Deepwander	Deepwander
Infernostride	Infernostride
Asheara's Slippers	Asheara's Slippers
Road to Perdition1	Road to Perdition1
Waterwalk	Waterwalk
Whirling Dervish	Whirling Dervish
Zebrastride	Zebrastride
Silkweave	Silkweave
Halbu's Gift	Halbu's Gift
Zero Effect	Zero Effect
Wartraveler	Wartraveler
River Stalker	River Stalker
Doubtraiser	Doubtraiser
Gorerider	Gorerider
Dance of the Cobra	Dance of the Cobra
Stallion Hooves	Stallion Hooves
Thoqqua's Slipper	Thoqqua's Slipper
Sandstorm Trek	Sandstorm Trek
Hollowed Ground	Hollowed Ground
Marrowwalk	Marrowwalk
Stairway to Heaven	Stairway to Heaven
Lustwander	Lustwander
Wild Horses	Wild Horses
Shadowdancer	Shadowdancer
Bloodrune	Bloodrune
Ivywrap	Ivywrap
Lenyms Cord	Lenyms Cord
Ratman's Rope	Ratman's Rope
Spiritseeker	Spiritseeker
Snakecord	Snakecord
Belt of Evil	Belt of Evil
Wreath of Suffering	Wreath of Suffering
Nightsmoke	Nightsmoke
Crocodile Wrap	Crocodile Wrap
Pirate's Faith	Pirate's Faith
Goldwrap	Goldwrap
Pandemonium	Pandemonium
Leash of Cerebus	Leash of Cerebus
Bladebuckle	Bladebuckle
Warriv's Coin	Warriv's Coin
Xenophobe	Xenophobe
String of Ears	String of Ears
Megladon Wrap	Megladon Wrap
Wave Whipper	Wave Whipper
Razortail	Razortail
Meshif's Coil	Meshif's Coil
Weakling’s Whimper	Weakling’s Whimper
Gloomstrap	Gloomstrap
Assassin Vine	Assassin Vine
Fortune's Fool	Fortune's Fool
Snowclash	Snowclash
The Art of War	The Art of War
Shattered Dreams	Shattered Dreams
Thudergod's Vigor	Thudergod's Vigor
Duskwreath	Duskwreath
Arachnid Mesh	Arachnid Mesh
Dreadfury	Dreadfury
Nosferatu's Coil	Nosferatu's Coil
Kashya's Ward	Kashya's Ward
Verdugo's Hearty Cord	Verdugo's Hearty Cord
Wisdom's Wrap	Wisdom's Wrap
Ecstacy of Ishtar	Ecstacy of Ishtar
Lachdonnan's Wrap	Lachdonnan's Wrap
Ogre's Embrace	Ogre's Embrace
Damsel of Destruction	Damsel of Destruction
Bleeding Branch	Bleeding Branch
Angelsong	Angelsong
Kashya's Retort	Kashya's Retort
Elvenbrand	Elvenbrand
Ragnarok Sliver	Ragnarok Sliver
Brightmangler	Brightmangler
Abyssal Torment	Abyssal Torment
Adamantine Leaf	Adamantine Leaf
Distance Strike	Distance Strike
The Four Winds	The Four Winds
Lycander's Aim	Lycander's Aim
Laurana's Elven Bow	Laurana's Elven Bow
Bloodraven's Charge	Bloodraven's Charge
Wintershock	Wintershock
Quicksilver	Quicksilver
Shieldmaiden's Toss	Shieldmaiden's Toss
Hastemaster	Hastemaster
Raptorshaft	Raptorshaft
Lady in Waiting	Lady in Waiting
Sister of the Sun	Sister of the Sun
Titan's Revenge	Titan's Revenge
Pegasus Wing	Pegasus Wing
Thunderstroke	Thunderstroke
Wrathshifter	Wrathshifter
Hawkfire	Hawkfire
Stygian Harlot	Stygian Harlot
Sepia Shard	Sepia Shard
Vile Temptress	Vile Temptress
Silverdawn	Silverdawn
Murder’s Mistress	Murder’s Mistress
Lycander's Flank	Lycander's Flank
Valkyrie's Calling	Valkyrie's Calling
Stoneraven	Stoneraven
Amanda's Point	Amanda's Point
Manticore's Retort	Manticore's Retort
Queasespreader	Queasespreader
Sparrow's Trill	Sparrow's Trill
Cyanstrike	Cyanstrike
Flicker Cinch	Flicker Cinch
Revoker	Revoker
Soul Stinger	Soul Stinger
Zapcaster	Zapcaster
Thought Splinter	Thought Splinter
Unseeing Eye	Unseeing Eye
Eternity Cable	Eternity Cable
Terminus Rod	Terminus Rod
Dreamsplitter	Dreamsplitter
Drehya's Globe	Drehya's Globe
Murdering Shard	Murdering Shard
Starbreaker	Starbreaker
Dawn Shadow	Dawn Shadow
Manna from Heaven	Manna from Heaven
Desecration Sigil	Desecration Sigil
Quandry of the Queen	Quandry of the Queen
The Oculus	The Oculus
Star of Bethlehem	Star of Bethlehem
Haven of Light	Haven of Light
Utterance of Power	Utterance of Power
Eschuta's temper	Eschuta's temper
Star of David	Star of David
Soul Of The Tanar'Ri	Soul Of The Tanar'Ri
Unity of Mind	Unity of Mind
Athena’s Tirade	Athena’s Tirade
Oracle's Riddle	Oracle's Riddle
Fathom	Fathom
Blanched Death	Blanched Death
Goblin Grin	Goblin Grin
Paingiver	Paingiver
Death’s Witness	Death’s Witness
Death Mauler	Death Mauler
Scalphunter	Scalphunter
Steel Weevil	Steel Weevil
Sinister Smile	Sinister Smile
Undead Beholder	Undead Beholder
Chiaroscuro Visage	Chiaroscuro Visage
King Tut	King Tut
Janus' Face	Janus' Face
Mystery of Life	Mystery of Life
Carrion Comfort	Carrion Comfort
Fallen Hero's Disgrace	Fallen Hero's Disgrace
Rictus of the Joker	Rictus of the Joker
Vow of Revenge	Vow of Revenge
Dreamsender	Dreamsender
Putrid Defiler	Putrid Defiler
Homunculus	Homunculus
Venomlord's Visage	Venomlord's Visage
Reaper's Trophy	Reaper's Trophy
Devil's Advocate	Devil's Advocate
Dreadmother	Dreadmother
Nihlathak's Spirit	Nihlathak's Spirit
Basilisk's Kiss	Basilisk's Kiss
Prayer for the Dying	Prayer for the Dying
Boneflame	Boneflame
Ravings of the Mad	Ravings of the Mad
Darkforge Spawn	Darkforge Spawn
Validator	Validator
Seafarer's Security	Seafarer's Security
Swiftfoot Slash	Swiftfoot Slash
Grip of the Gorgon	Grip of the Gorgon
Felix's Brace	Felix's Brace
Secret of Steel	Secret of Steel
Bastion of Hope	Bastion of Hope
Hellchatter	Hellchatter
King's Guard	King's Guard
Devourer of Worlds	Devourer of Worlds
Death to the Soul	Death to the Soul
Twilight Presence	Twilight Presence
Knight's Holy Sigil	Knight's Holy Sigil
Voice of the Prophet	Voice of the Prophet
Defender of Innocence	Defender of Innocence
Black Rain	Black Rain
Crusader's Will	Crusader's Will
Herald of Zakarum	Herald of Zakarum
Wisdom of Thoth	Wisdom of Thoth
Grand Inquisitor	Grand Inquisitor
Ancients' Epiphany	Ancients' Epiphany
Cleric's Rebuke	Cleric's Rebuke
Dawn Blesser	Dawn Blesser
Alma Negra	Alma Negra
Faith's Promise	Faith's Promise
Dawnfall	Dawnfall
God's Word	God's Word
Dragonscale	Dragonscale
Valorsong	Valorsong
Fortress of Morpheus	Fortress of Morpheus
Madman's Bluster	Madman's Bluster
Chaos Kin	Chaos Kin
Pitykiller	Pitykiller
Darkhunger	Darkhunger
Kygragond	Kygragond
Dragonkin	Dragonkin
Invader's Glee	Invader's Glee
Blood Dancer	Blood Dancer
Warsummoner	Warsummoner
Chimera's Chaos	Chimera's Chaos
Helms Deep	Helms Deep
Deadgaze	Deadgaze
Malefactor’s Reward	Malefactor’s Reward
Gambler's Glory	Gambler's Glory
Primal Lust	Primal Lust
Slayer's Glee	Slayer's Glee
Hanabal's Crown	Hanabal's Crown
Hellraiser's Casque	Hellraiser's Casque
Vanguard	Vanguard
Arreat's Face	Arreat's Face
Conqueror's Feast	Conqueror's Feast
Foul Embrace	Foul Embrace
Death Knight's Mask	Death Knight's Mask
Wolfhowl	Wolfhowl
Wasteland Visage	Wasteland Visage
Demonhorn's Edge	Demonhorn's Edge
Insight of the Ancients	Insight of the Ancients
Halaberd's Reign	Halaberd's Reign
Archon's Ache	Archon's Ache
Conscience of the King	Conscience of the King
Morning After	Morning After
Blood Brother	Blood Brother
Swift Slaughter	Swift Slaughter
Copperbite	Copperbite
Yamanda's Token	Yamanda's Token
Silverskin	Silverskin
Voltar's Feather	Voltar's Feather
Eye of Heaven	Eye of Heaven
Lion's Pride	Lion's Pride
Wraith Whisper	Wraith Whisper
Moonshadow	Moonshadow
The King's Heart	The King's Heart
Gathering of Hawks	Gathering of Hawks
Creeper's Canopy	Creeper's Canopy
Centaur's Sight	Centaur's Sight
Night Prowler	Night Prowler
Phoenix Fall	Phoenix Fall
Falcon Sharp	Falcon Sharp
Leader of the Pack	Leader of the Pack
Jalal's Mane	Jalal's Mane
Call of the Wild	Call of the Wild
Cerebus	Cerebus
Eagle Eyes	Eagle Eyes
Sanctuary's Scion	Sanctuary's Scion
Spirit of the Land	Spirit of the Land
Spiritkeeper	Spiritkeeper
Hecuba's Tresses	Hecuba's Tresses
Ravenlore	Ravenlore
Call of the Kindred	Call of the Kindred
Stone Feather	Stone Feather
Killerwatch	Killerwatch
Hidden Death	Hidden Death
Simpleton's Shadow	Simpleton's Shadow
Razorspine	Razorspine
Storms of Spring	Storms of Spring
Murdering Bloom	Murdering Bloom
Spirit Hawk	Spirit Hawk
Cold of Winter	Cold of Winter
Crimson Cry	Crimson Cry
Samantha's Fist	Samantha's Fist
Androsphinx	Androsphinx
Liege Reaver	Liege Reaver
Frostshiver	Frostshiver
Lynx Talon	Lynx Talon
Winterquick	Winterquick
Nightmare Glove	Nightmare Glove
Key to the Madhouse	Key to the Madhouse
Bladespan	Bladespan
Dark Demense	Dark Demense
Martial Law	Martial Law
Troll's Touch	Troll's Touch
Keys to Hell	Keys to Hell
Storm Demon's Glair	Storm Demon's Glair
Corpseflayer	Corpseflayer
Sabertooth	Sabertooth
Pleasures of the Perverse	Pleasures of the Perverse
Dusk Ray	Dusk Ray
Razor Knuckle	Razor Knuckle
Heat of Summer	Heat of Summer
Scarab Cleaver	Scarab Cleaver
Fullsuffering	Fullsuffering
Chi Strike	Chi Strike
Slithertongue	Slithertongue
Wight Claw	Wight Claw
Shadowy Places	Shadowy Places
Werewolf Talons	Werewolf Talons
Dark Nemesis	Dark Nemesis
Adamantine Razors	Adamantine Razors
Cutthroat1	Cutthroat1
Path of the Nightwalker	Path of the Nightwalker
Fearsome Rumors	Fearsome Rumors
Glitterkill	Glitterkill
Wakazashi	Wakazashi
Iniquity Razor	Iniquity Razor
Biteblade	Biteblade
Jadetalon	Jadetalon
Nightwrath	Nightwrath
Silent Shank	Silent Shank
Flaming Fist	Flaming Fist
Shadowkiller	Shadowkiller
Death Slaad1	Death Slaad1
Firelizard's Talons	Firelizard's Talons
Spellfist	Spellfist
Sin Sister	Sin Sister
Avalanche Strike	Avalanche Strike
Torturer's Trust	Torturer's Trust
Ring of Engagement	Ring of Engagement
Nagelring	Nagelring
Nameless Fear	Nameless Fear
Manald Heal	Manald Heal
Elven Heartband	Elven Heartband
Knell of Discord	Knell of Discord
The Stone of Jordan	The Stone of Jordan
Vampiric Regeneration	Vampiric Regeneration
Dwarf Star	Dwarf Star
Golem's Might	Golem's Might
Raven Frost	Raven Frost
Planatar Enlightenment	Planatar Enlightenment
Thief of Dreams	Thief of Dreams
Bul Katho's Wedding Band	Bul Katho's Wedding Band
Carrion Wind	Carrion Wind
Jackal's Laughter	Jackal's Laughter
Nature's Peace	Nature's Peace
Fellowship's Hope	Fellowship's Hope
Wisp	Wisp
Faerie Ring	Faerie Ring
Stone Of Jordan*	Stone Of Jordan*
Constricting Ring	Constricting Ring
Eye of Kahn	Eye of Kahn
Psyche Shroud	Psyche Shroud
Nokozan Relic	Nokozan Relic
Amulet of Warding	Amulet of Warding
The Eye of Etlich	The Eye of Etlich
The Mahim-Oak Curio	The Mahim-Oak Curio
Cryptking	Cryptking
Sequence of Seasons	Sequence of Seasons
Saracen's Chance	Saracen's Chance
Rat Lord’s Gate	Rat Lord’s Gate
The Cat's Eye	The Cat's Eye
Luck Sigil	Luck Sigil
Crescent Moon	Crescent Moon
Atma's Scarab	Atma's Scarab
The Rising Sun	The Rising Sun
Highlord's Wrath	Highlord's Wrath
Seraph's Hymn	Seraph's Hymn
Mara's Kaleidoscope	Mara's Kaleidoscope
The Vanquisher	The Vanquisher
Foulsigil	Foulsigil
Metalgrid	Metalgrid
Veil of Despair	Veil of Despair
Autumn's Avatar	Autumn's Avatar
Remembrance of Glory	Remembrance of Glory
Argo's Anchor	Argo's Anchor
Ogre King's Bowl	Ogre King's Bowl
Annihilus	Annihilus
Peacemaker	Peacemaker
Lifesever	Lifesever
Thronegranter	Thronegranter
Nightdrifter	Nightdrifter
Gheed's Fortune	Gheed's Fortune
Queenscall	Queenscall
Tiger Eye	Tiger Eye
Jade Facet	Jade Facet
Topaz Facet	Topaz Facet
Emerald Facet	Emerald Facet
Quartz Facet	Quartz Facet
Rainbow Facet	Rainbow Facet
Rainbow Facet	Rainbow Facet
Rainbow Facet	Rainbow Facet
Rainbow Facet	Rainbow Facet
Rainbow Facet	Rainbow Facet
Rainbow Facet	Rainbow Facet
Rainbow Facet	Rainbow Facet
Rainbow Facet	Rainbow Facet
Saphire Facet	Saphire Facet
Saphire Facet	Saphire Facet
Diamond Facet	Diamond Facet
Adamantine Facet	Adamantine Facet
Star Facet	Star Facet
Heaven Facet	Heaven Facet
Amulet of the Viper	Amulet of the Viper
Staff of Kings	Staff of Kings
Horadric Staff	Horadric Staff
Hell Forge Hammer	Hell Forge Hammer
KhalimFlail	KhalimFlail
SuperKhalimFlail	SuperKhalimFlail
Leoric's Silverbane	Leoric's Silverbane
Harimenja Slice	Harimenja Slice
Ez'raavar	Ez'raavar
Canine White	Canine White
Ire-Ren Talos Breach	Ire-Ren Talos Breach
Icerift	Icerift
Aktal-Tsur	Aktal-Tsur
Wake of the Marauder	Wake of the Marauder
Sorrow of the Slayer	Sorrow of the Slayer
Life Drinker	Life Drinker
Magus Rodum	Magus Rodum
Exhile	Exhile
Infernal Resurrection	Infernal Resurrection
Sins of the Fallen	Sins of the Fallen
Shadow Branch	Shadow Branch
Dawn's Prayer	Dawn's Prayer
Celerity	Celerity
The Banisher	The Banisher
Nails of Yzan	Nails of Yzan
Troll Smasher	Troll Smasher
Dawn Star	Dawn Star
Scorpion's Tail	Scorpion's Tail
Moradin's Hammer	Moradin's Hammer
Barbarian Thumper	Barbarian Thumper
Malbanger	Malbanger
Dwarf Claymore	Dwarf Claymore
Quartermoon Scimitar	Quartermoon Scimitar
Moonset Sabre	Moonset Sabre
Alyarin Edge	Alyarin Edge
Diamond Blade	Diamond Blade
Luminus	Luminus
Flametongue	Flametongue
Death and Glory	Death and Glory
Mirrorblade	Mirrorblade
Ultima Rend	Ultima Rend
Cycloptian Reaver	Cycloptian Reaver
Windwrath	Windwrath
Edgesting	Edgesting
Father of the Sword	Father of the Sword
Grass Blade	Grass Blade
Flowen Backstabber	Flowen Backstabber
Blood Art	Blood Art
Suhaya	Suhaya
Recata Armanya	Recata Armanya
Oberisk	Oberisk
Gungnir	Gungnir
Arreat Evilpoker	Arreat Evilpoker
Wyrmlancer	Wyrmlancer
Altran Tan-do-li	Altran Tan-do-li
Egluov Poleaxe	Egluov Poleaxe
Deathtouch	Deathtouch
Arreat Devilslayer	Arreat Devilslayer
Ignifuge	Ignifuge
Quicksilver Death	Quicksilver Death
Demonbeater	Demonbeater
Wolf Spirit	Wolf Spirit
Tree Spirit	Tree Spirit
Blue Tsunami	Blue Tsunami
Fairy Tale	Fairy Tale
Red Pin	Red Pin
Ranger String	Ranger String
Elkris Matron	Elkris Matron
Vendetta	Vendetta
Storm Wind	Storm Wind
Kanen Vortex	Kanen Vortex
The Siren	The Siren
Zanzouken	Zanzouken
Huntress' Thorn	Huntress' Thorn
Terror of Chton	Terror of Chton
Arm of Justice	Arm of Justice
Phoenix Flight	Phoenix Flight
The Humiliating Crown	The Humiliating Crown
Vampyr Head	Vampyr Head
Arreat Helm	Arreat Helm
Kurast Helm	Kurast Helm
Crippling Gaze	Crippling Gaze
Vision of Onslaught	Vision of Onslaught
Mask of Faith	Mask of Faith
Krill's Hypnotism	Krill's Hypnotism
Devil-Kin Hide	Devil-Kin Hide
Mirror of the Undead	Mirror of the Undead
Demoncoat	Demoncoat
Devilskin	Devilskin
Sparkfend	Sparkfend
Lich Skin	Lich Skin
Paladin Crest	Paladin Crest
Chains of Chton	Chains of Chton
Rangiara Coat	Rangiara Coat
Bbana Plate	Bbana Plate
Godly Mail	Godly Mail
Pandemonium's Guardian	Pandemonium's Guardian
Nauglamir	Nauglamir
Planefusion	Planefusion
Vigilance	Vigilance
Tearjge	Tearjge
Shieldshift	Shieldshift
Disc of Power	Disc of Power
Boneshard	Boneshard
Goreward	Goreward
Herald of the Divine Goddess	Herald of the Divine Goddess
Darkwood Bark	Darkwood Bark
Dragonguard	Dragonguard
Hands of Thieves	Hands of Thieves
Powerhold	Powerhold
Hands of Abidana	Hands of Abidana
Stormfist	Stormfist
Mur'ko Swordfist	Mur'ko Swordfist
Soul Blazer	Soul Blazer
Sandals of Hermes	Sandals of Hermes
The Charge of Battle	The Charge of Battle
Tombwalker	Tombwalker
Nightwaltz	Nightwaltz
Arreat Wrap	Arreat Wrap
Storm Guard	Storm Guard
Ai'un Dane	Ai'un Dane
Sharktooth Belt	Sharktooth Belt
Diamond Guard	Diamond Guard
Expansion	Expansion
The Steel Toothed Flayer	The Steel Toothed Flayer
Soul Carver	Soul Carver
Valor of Gemini	Valor of Gemini
Dragon's Tooth	Dragon's Tooth
Shadow Razor	Shadow Razor
Hellraiser	Hellraiser
Ikusa Kizutsukeru	Ikusa Kizutsukeru
Spirit of the Earth	Spirit of the Earth
Reaver of the Damned	Reaver of the Damned
Minotaurian Guillotine	Minotaurian Guillotine
Phantom Pain	Phantom Pain
Corrupt Genesis	Corrupt Genesis
Crypt Raider	Crypt Raider
Tomb Raiser	Tomb Raiser
Arm of the Oak	Arm of the Oak
Call to Glory	Call to Glory
Frost of Kailakinnen	Frost of Kailakinnen
The Peacekeeper	The Peacekeeper
Moonsteel Club	Moonsteel Club
Lizn Zephyr	Lizn Zephyr
Novalight	Novalight
Ravager's Anaconda	Ravager's Anaconda
Eiko's Aenger	Eiko's Aenger
The Avatar's Chosen	The Avatar's Chosen
Yaqqan Hammer	Yaqqan Hammer
Doppelganger	Doppelganger
Zzani Blade	Zzani Blade
Squer al Mni	Squer al Mni
Yoshiyuki	Yoshiyuki
Planeripper	Planeripper
Eukeen Edge	Eukeen Edge
Harper's Point	Harper's Point
The Needle	The Needle
Iquan Sword	Iquan Sword
Dullahan's Executioner	Dullahan's Executioner
Pyros' Edge	Pyros' Edge
Carnal's Eviscerator	Carnal's Eviscerator
Bladesinger	Bladesinger
Frostbrand	Frostbrand
Orichalum	Orichalum
Throat Seeker	Throat Seeker
Ascension	Ascension
Swallow Eye	Swallow Eye
Moonmetal Ranasan	Moonmetal Ranasan
Fuscina Lunata	Fuscina Lunata
Silver Wolf	Silver Wolf
Point of Abidana	Point of Abidana
Dragon Whisker	Dragon Whisker
Sabredge	Sabredge
Reach of doom	Reach of doom
Hurricane	Hurricane
Zzaserband	Zzaserband
Narya Axe	Narya Axe
Soul Raiser	Soul Raiser
Planetsage	Planetsage
Bear Spirit	Bear Spirit
The Sage's Stand	The Sage's Stand
Zain's Wisdom	Zain's Wisdom
Stormbringer	Stormbringer
Woaban Edge	Woaban Edge
Caller of the Hunt	Caller of the Hunt
Tennr Oaksting	Tennr Oaksting
Song of Justice	Song of Justice
Looming Arch	Looming Arch
Rain of Fire	Rain of Fire
Seeker of the Northstar	Seeker of the Northstar
Narya's Sling	Narya's Sling
Gastrafatis	Gastrafatis
Gorgon Pelter	Gorgon Pelter
Ominous Impailer	Ominous Impailer
Kailn Doom-Hail	Kailn Doom-Hail
Armor	Armor
King's Disguise	King's Disguise
Aeonhelm	Aeonhelm
Syran Helm	Syran Helm
Albina Basinet	Albina Basinet
Behemoth Horns	Behemoth Horns
Frigid Halo	Frigid Halo
Nullifying Gaze	Nullifying Gaze
Nektraal Obsidia	Nektraal Obsidia
Vampire Tunic	Vampire Tunic
Viper-Skin Wrap	Viper-Skin Wrap
Ariana Armour	Ariana Armour
Bessenmail	Bessenmail
Glowforce	Glowforce
Raiment of Champions	Raiment of Champions
Naaleth Rock	Naaleth Rock
Tordek's Requiem	Tordek's Requiem
Goldsheet	Goldsheet
Plate of the Undying	Plate of the Undying
Steelskin	Steelskin
Golemskin	Golemskin
Rosebarb	Rosebarb
Polaris	Polaris
God's Garb	God's Garb
Cairn Forged Disks	Cairn Forged Disks
Arreat Guard	Arreat Guard
Shadespiral	Shadespiral
White Queen	White Queen
Magehold	Magehold
Coat of Arms	Coat of Arms
Hero's Grave	Hero's Grave
Vlad's Wall of Spikes	Vlad's Wall of Spikes
Magehand	Magehand
Runetracers	Runetracers
Spirit Shackles	Spirit Shackles
Hand of Fate	Hand of Fate
God Hands	God Hands
Boots of Germinas	Boots of Germinas
Tearhaunch of Chton	Tearhaunch of Chton
Godspeed	Godspeed
Rider of the East Wind	Rider of the East Wind
Treads of the Duskwalker	Treads of the Duskwalker
Tera's Waist	Tera's Waist
Adamantine Belt	Adamantine Belt
Stormloop	Stormloop
Umberstrand	Umberstrand
Ranakana Wrap	Ranakana Wrap
Elite Uniques	Elite Uniques
Hero of the People	Hero of the People
Minotaurian Skull	Minotaurian Skull
Wolforce	Wolforce
Gemstone Skin	Gemstone Skin
Lunatic Pandora	Lunatic Pandora
Shutz	Shutz
Bloodthirster	Bloodthirster
Arkaine's Edge	Arkaine's Edge
Hydros' Wrath	Hydros' Wrath
Swingbasher	Swingbasher
Griever	Griever
Runewarper	Runewarper
Death's Widow	Death's Widow
Ragnarok	Ragnarok
Shrieker	Shrieker
Constricting Ring	Constricting Ring
Zain's Battle Bringer	Zain's Battle Bringer
Vex Hunter	Vex Hunter
The Queen of Hearts	The Queen of Hearts
Class Specific	Class Specific
Arreat's Face	Arreat's Face
Homunculus	Homunculus
Titan's Revenge	Titan's Revenge
Lycander's Aim	Lycander's Aim
Lycander's Flank	Lycander's Flank
The Oculus	The Oculus
Herald of Zakarum	Herald of Zakarum
Cutthroat	Cutthroat
Jalal's Mane	Jalal's Mane
Whirlwisp	Whirlwisp
Whiplash Harna	Whiplash Harna
The Hulk's Force	The Hulk's Force
Jjeni Harna	Jjeni Harna
Slayer Harna	Slayer Harna
Kelnan Edge	Kelnan Edge
Lithos' Venom	Lithos' Venom
Champion's Harna	Champion's Harna
Bonefinger	Bonefinger
Spiritrise	Spiritrise
Venomshaft	Venomshaft
Day of the Dead	Day of the Dead
The Arcane Bark of Inifuss	The Arcane Bark of Inifuss
Faith of Khalim	Faith of Khalim
Guide to Wintermoon	Guide to Wintermoon
Zakarum's Salvation	Zakarum's Salvation
Reza's Vengeance	Reza's Vengeance
The Slayer	The Slayer
Whipstitch	Whipstitch
Mjallnagor	Mjallnagor
Gladiator Edge	Gladiator Edge
Edge Hyperius	Edge Hyperius
Slayer of Lern	Slayer of Lern
Warpmaker	Warpmaker
Starmetal Sword	Starmetal Sword
Eclesis	Eclesis
Terminus Et	Terminus Et
Terminus Est	Terminus Est
Nes'nar Blade	Nes'nar Blade
Rena's Arm	Rena's Arm
Avatar Edge	Avatar Edge
Katzbalger	Katzbalger
Osiris Blade	Osiris Blade
Zorlin Shape	Zorlin Shape
Sunrise Spear	Sunrise Spear
Aust's Ranasan	Aust's Ranasan
Arwiyah Narquita	Arwiyah Narquita
Will of Stratos	Will of Stratos
Flipspin Lance	Flipspin Lance
Kuuno Niraya	Kuuno Niraya
Ilnar's Reach	Ilnar's Reach
Ghost Harvest	Ghost Harvest
Gunge Lance	Gunge Lance
Mjolnir	Mjolnir
Harbinger	Harbinger
Archon's Way	Archon's Way
Eagle Spirit	Eagle Spirit
Sylvan Heritage	Sylvan Heritage
Raa's Runebearer	Raa's Runebearer
Silkspinner	Silkspinner
Kkali Bow	Kkali Bow
Shadekiller	Shadekiller
Harpstring	Harpstring
Llnan Arch	Llnan Arch
Seventh Heaven	Seventh Heaven
Hunterkiller	Hunterkiller
Jukka Crossbow	Jukka Crossbow
The Basilisk	The Basilisk
Windlass	Windlass
The Iron Berret of Lern	The Iron Berret of Lern
Blade Lore	Blade Lore
Tannr Case	Tannr Case
